,1. open,2. high,3. low,4. close,5. volume,date,delta,ticker
68,2.7500,2.8800,2.4100,2.4100,913160,2020-08-11,15,WORX
69,6.5000,6.9900,6.1600,6.6600,3614704,2020-08-11,0,FENC
70,9.4600,10.6700,9.3300,10.1700,2629272,2020-08-10,-1,FENC
71,6.7200,6.9800,5.9300,6.1700,1345080,2020-08-12,15,FENC
72,12.0000,12.0000,8.8800,8.9000,2026664,2020-08-11,0,FULC
73,17.1270,18.3750,17.0500,17.1200,61250,2020-08-10,-1,FULC
74,8.8400,8.9000,7.6100,7.7700,1284325,2020-08-12,15,FULC
75,12.6000,12.7500,10.4601,11.3300,3719782,2020-08-11,0,MESO
76,17.2000,18.6800,16.7200,17.4200,1713859,2020-08-10,-1,MESO
77,11.6700,11.8499,11.0000,11.8100,1133094,2020-08-12,15,MESO
78,11.9100,13.7399,11.0900,12.0300,4552018,2020-10-02,0,MESO
79,18.5850,18.5850,18.5850,18.5850,72661,2020-10-01,-1,MESO
80,12.7100,13.5000,12.5200,12.8000,1590171,2020-10-05,15,MESO
81,22.0100,22.8673,18.4100,18.8400,6028979,2020-08-12,0,OSPN
82,30.0200,31.6400,29.9000,31.2000,496058,2020-08-11,-1,OSPN
83,18.6500,19.4500,18.0600,18.9000,1957119,2020-08-13,15,OSPN
84,4.0800,4.5000,4.0000,4.2000,689700,2020-08-14,0,FLUX
85,8.0000,8.0000,7.9000,7.9000,748,2020-08-13,-1,FLUX
86,4.4000,5.2000,4.3500,5.0400,996871,2020-08-17,15,FLUX
87,1.4200,1.6000,1.0100,1.0600,14188569,2020-08-14,0,HX
88,0.7694,2.4800,0.7694,2.4800,75110923,2020-08-13,-1,HX
89,0.9800,1.0400,0.9130,0.9600,1902128,2020-08-17,15,HX
90,1.9000,2.3100,1.8100,1.9100,447421,2020-08-24,0,HX
91,0.8400,0.8841,0.8100,0.8600,542665,2020-08-21,-1,HX
92,1.9500,2.1999,1.9200,1.9500,230939,2020-08-25,15,HX
93,0.7990,0.8300,0.7300,0.7999,9249478,2020-08-14,0,LMFA
94,1.4300,1.4999,1.0100,1.0700,2082687,2020-08-13,-1,LMFA
95,0.8000,0.8000,0.7610,0.7800,1645481,2020-08-17,15,LMFA
96,5.1600,5.2500,4.0500,4.1500,23236728,2020-08-17,0,UBX
97,11.8000,12.4600,11.5300,12.4300,687356,2020-08-14,-1,UBX
98,3.8800,3.9700,3.1500,3.2600,11795299,2020-08-18,15,UBX
99,8.7600,9.5800,8.3800,9.0600,2215335,2020-08-18,0,PSTX
100,13.1100,13.6100,12.6200,13.0000,388707,2020-08-17,-1,PSTX
101,9.7100,9.8494,8.7500,8.8600,923396,2020-08-19,15,PSTX
102,0.5640,0.5700,0.5102,0.5461,48896469,2020-08-18,0,SHIP
103,1.2300,1.2500,1.1200,1.1700,3193712,2020-08-17,-1,SHIP
104,0.5344,0.5368,0.5000,0.5004,11842114,2020-08-19,15,SHIP
105,0.0111,0.0200,0.0100,0.0149,1156978,2020-08-18,0,SPHS
106,0.0076,0.0300,0.0076,0.0090,49607,2020-08-17,-1,SPHS
107,0.0122,0.0149,0.0102,0.0146,202259,2020-08-19,15,SPHS
108,0.0106,0.0150,0.0106,0.0150,283494,2020-08-20,0,SPHS
109,0.0122,0.0149,0.0102,0.0146,202259,2020-08-19,-1,SPHS
110,0.0150,0.0180,0.0115,0.0151,228112,2020-08-21,15,SPHS
111,0.0120,0.0350,0.0101,0.0176,761132,2020-09-25,0,SPHS
112,0.0123,0.0500,0.0123,0.0449,1230490,2020-09-24,-1,SPHS
113,0.0186,0.0186,0.0153,0.0160,196827,2020-09-28,15,SPHS
114,0.0090,0.0138,0.0090,0.0110,139397,2020-10-22,0,SPHS
115,0.0167,0.0167,0.0101,0.0143,274885,2020-10-21,-1,SPHS
116,0.0167,0.0167,0.0101,0.0101,50714,2020-10-23,15,SPHS
117,85.8100,85.8500,74.5600,76.7150,34099091,2020-08-19,0,BMRN
118,119.1400,119.9000,117.3100,118.5400,723862,2020-08-18,-1,BMRN
119,76.2700,76.7300,74.6000,74.8500,7297174,2020-08-20,15,BMRN
120,137.7500,145.1500,136.3500,141.0000,1308002,2020-08-19,0,GLPG
121,190.0100,190.3200,186.6800,188.0800,102921,2020-08-18,-1,GLPG
122,142.3900,144.6500,141.5907,143.5200,225889,2020-08-20,15,GLPG
123,1.3200,1.4300,1.1800,1.2600,3030741,2020-08-20,0,SYPR
124,0.9787,1.9500,0.9787,1.8500,11870908,2020-08-19,-1,SYPR
125,1.1700,1.2500,1.1400,1.1700,573436,2020-08-21,15,SYPR
126,1.0100,3.8400,1.0100,3.1500,1164316,2020-08-24,0,FTSI
127,5.1800,5.4200,4.8500,4.9600,99751,2020-08-21,-1,FTSI
128,3.1700,5.2000,3.1700,4.3600,3024943,2020-08-25,15,FTSI
129,0.6600,1.0000,0.6400,0.8960,60582612,2020-08-24,0,NAK
130,1.5200,1.5460,1.4450,1.4500,8261039,2020-08-21,-1,NAK
131,0.7820,0.8500,0.5811,0.6100,54522404,2020-08-25,15,NAK
132,24.5100,24.9400,18.0800,18.3300,3378618,2020-08-24,0,ODT
133,34.5600,34.6200,33.0300,33.5400,226927,2020-08-21,-1,ODT
134,18.6900,19.1700,17.1800,17.5000,1297466,2020-08-25,15,ODT
135,0.2752,0.3980,0.2600,0.3429,177712519,2020-08-24,0,ONTX
136,1.0200,1.0300,0.9800,1.0100,4019999,2020-08-21,-1,ONTX
137,0.3111,0.3124,0.2805,0.2911,39265122,2020-08-25,15,ONTX
138,0.2000,0.2210,0.1900,0.1998,38395416,2020-08-25,0,MYT
139,0.3000,0.3000,0.2704,0.2829,5203861,2020-08-24,-1,MYT
140,0.2100,0.2350,0.2000,0.2001,23779489,2020-08-26,15,MYT
141,1.0200,1.0300,0.9500,0.9700,6342953,2020-08-26,0,CWBR
142,1.4500,1.4950,1.4000,1.4400,227198,2020-08-25,-1,CWBR
143,0.9506,0.9900,0.8500,0.8672,2835499,2020-08-27,15,CWBR
144,0.8321,0.9200,0.7813,0.8150,23885032,2020-08-26,0,OTLK
145,1.2800,1.3000,1.2200,1.2800,1251664,2020-08-25,-1,OTLK
146,0.7500,0.7600,0.6502,0.7101,9761071,2020-08-27,15,OTLK
147,0.5500,0.6800,0.5400,0.6500,741228,2020-08-27,0,KXIN
148,0.8900,0.9100,0.8800,0.8968,207215,2020-08-26,-1,KXIN
149,0.6801,0.6900,0.5400,0.5900,271121,2020-08-28,15,KXIN
150,1.3300,1.4900,1.1600,1.3300,6285603,2020-10-15,0,KXIN
151,0.5356,2.1900,0.5355,1.9800,59818740,2020-10-14,-1,KXIN
152,1.3700,4.5000,1.2800,2.0700,55134699,2020-10-16,15,KXIN
153,6.0000,6.9800,4.3000,4.7500,17911722,2020-10-20,0,KXIN
154,3.3000,13.4000,2.7500,8.1500,234566217,2020-10-19,-1,KXIN
155,4.2600,5.9900,3.4500,4.6100,11361419,2020-10-21,15,KXIN
156,19.0500,24.4280,14.8200,19.0000,3572958,2020-08-27,0,MAXN
157,32.4000,37.6200,32.4000,37.6200,3540,2020-08-26,-1,MAXN
158,19.7400,21.3500,18.7600,20.0500,1230532,2020-08-28,15,MAXN
159,1.3000,1.5200,1.1600,1.5200,7196676,2020-08-28,0,PED
160,1.5000,2.5000,1.4500,2.1100,100142960,2020-08-27,-1,PED
161,1.4000,1.4200,1.2400,1.3200,792764,2020-08-31,15,PED
162,0.2776,0.2826,0.2306,0.2447,55595782,2020-08-31,0,ACST
163,0.7150,0.7262,0.6450,0.7090,2684973,2020-08-28,-1,ACST
164,0.2176,0.2349,0.2115,0.2170,15899506,2020-09-02,15,ACST
165,8.0000,15.0000,8.0000,9.7700,151700,2020-08-31,0,GB
166,9.5000,9.5000,8.3300,8.5500,162050,2020-09-01,15,GB
167,2.9400,3.0000,2.6300,2.6500,81420239,2020-09-03,0,AKBA
168,10.0100,10.0900,9.5800,10.0000,1991498,2020-09-02,-1,AKBA
169,2.8300,2.8500,2.4600,2.7200,33632753,2020-09-04,15,AKBA
170,11.4900,12.3300,10.8100,11.2200,12030571,2020-09-03,0,ZUO
171,16.8800,17.7900,15.2500,16.1700,8896952,2020-09-02,-1,ZUO
172,11.1000,11.2000,9.6300,10.4200,6744558,2020-09-04,15,ZUO
173,2.2300,2.4500,1.9500,2.2300,47192203,2020-09-08,0,CRBP
174,9.3600,9.6000,8.9200,9.2500,1911613,2020-09-04,-1,CRBP
175,2.2700,2.5600,2.2500,2.4400,14311714,2020-09-09,15,CRBP
176,1.1100,1.2800,1.0400,1.2100,25532143,2020-10-06,0,CRBP
177,1.7700,1.8900,1.7600,1.8900,2710049,2020-10-05,-1,CRBP
178,1.2100,1.2700,1.1600,1.2100,7397135,2020-10-07,15,CRBP
179,4.8095,9.3900,4.5500,5.6200,112501911,2020-09-10,0,STSA
180,22.9000,24.5000,22.9000,23.3400,128610,2020-09-09,-1,STSA
181,5.0900,5.3600,4.6435,4.8300,10103882,2020-09-11,15,STSA
182,3.6000,3.7701,3.1000,3.1100,341018,2020-09-11,0,CRTD
183,7.7500,8.0000,7.2000,7.5000,2990,2020-09-10,-1,CRTD
184,3.4000,3.4000,3.0800,3.1100,31964,2020-09-14,15,CRTD
185,0.4519,0.5500,0.4499,0.5400,30879282,2020-09-16,0,CSCW
186,0.7800,0.8270,0.7538,0.7900,1721844,2020-09-15,-1,CSCW
187,0.5201,0.5290,0.4870,0.5146,5034629,2020-09-17,15,CSCW
188,24.9700,29.6000,24.0500,27.5800,86856172,2020-09-21,0,NKLA
189,34.0800,34.2800,32.7700,34.1900,21528985,2020-09-18,-1,NKLA
190,27.0400,29.4800,26.6700,28.5100,30361121,2020-09-22,15,NKLA
191,2.2900,2.5400,2.2600,2.3200,11015271,2020-09-22,0,VCNX
192,5.6000,5.7507,5.1400,5.4700,230081,2020-09-21,-1,VCNX
193,2.1900,2.2200,1.8500,1.8600,3787926,2020-09-23,15,VCNX
194,5.1500,5.6500,4.8000,4.8000,5728528,2020-09-23,0,ACIU
195,8.9800,9.0200,8.6445,8.7200,126201,2020-09-22,-1,ACIU
196,4.8000,5.2000,4.8000,4.8500,1972635,2020-09-24,15,ACIU
197,1.5400,1.6500,1.5400,1.5800,918154,2020-09-23,0,USIO
198,2.2300,2.3400,2.2300,2.2700,28120,2020-09-22,-1,USIO
199,1.5800,1.6500,1.5400,1.5700,185995,2020-09-24,15,USIO
200,10.9100,11.2400,9.7400,10.0200,12356960,2020-09-23,0,WVE
201,15.4100,17.0800,15.2700,15.8400,2069597,2020-09-22,-1,WVE
202,9.7900,9.9200,8.8735,9.5600,4175904,2020-09-24,15,WVE
203,2.7000,2.9900,2.6700,2.9200,536075,2020-09-24,0,KBNT
204,3.9500,4.0900,3.8700,3.9100,542152,2020-09-23,-1,KBNT
205,2.9000,2.9200,2.4700,2.6600,380876,2020-09-25,15,KBNT
206,6.8100,9.6200,6.7900,8.3295,887476,2020-09-24,0,RIDEW
207,11.7600,11.9000,8.7000,9.3000,892259,2020-09-23,-1,RIDEW
208,9.6000,9.7000,8.9000,8.9000,485576,2020-09-25,15,RIDEW
209,5.3300,7.7000,4.3800,6.7500,3538768,2020-09-24,0,TTCFW
210,8.7725,9.2000,7.4700,8.0600,988435,2020-09-23,-1,TTCFW
211,7.0300,8.1100,7.0300,7.7000,699857,2020-09-25,15,TTCFW
212,9.6200,12.9000,8.9900,9.9900,20799866,2020-09-25,0,SPI
213,27.1000,28.7100,12.5000,13.1000,29554977,2020-09-24,-1,SPI
214,9.9000,12.0000,9.0500,10.2400,10957554,2020-09-28,15,SPI
215,5.0300,5.4600,4.7200,4.9700,5347802,2020-09-28,0,AQST
216,7.8900,8.0400,7.4000,7.6100,1735251,2020-09-25,-1,AQST
217,5.0600,5.0600,4.4000,4.4100,2744657,2020-09-29,15,AQST
218,10.6300,13.8000,10.2800,12.1400,66840724,2020-09-28,0,INO
219,15.8500,16.9600,15.8500,16.9400,13539826,2020-09-25,-1,INO
220,11.9300,12.5500,11.2900,11.3100,22947849,2020-09-29,15,INO
221,3.2100,3.2400,2.6500,2.6800,9240540,2020-09-30,0,APM
222,8.2200,14.2300,4.6800,4.7600,61782422,2020-09-29,-1,APM
223,2.7100,3.1400,2.6800,2.8900,4896672,2020-10-01,15,APM
224,0.3250,0.3347,0.3002,0.3168,36321247,2020-09-30,0,NCTY
225,0.6644,0.6999,0.4567,0.5200,8583942,2020-09-29,-1,NCTY
226,0.3080,0.3320,0.3000,0.3125,13131730,2020-10-01,15,NCTY
227,6.7800,6.7800,6.0000,6.2000,1691354,2020-10-01,0,LOGC
228,9.5000,9.7500,9.0000,9.0800,423781,2020-09-30,-1,LOGC
229,6.1000,6.1300,5.6500,5.8800,862944,2020-10-02,15,LOGC
230,1.5600,1.8200,1.4800,1.6400,13161050,2020-10-01,0,SELB
231,2.5500,2.6000,2.4400,2.4800,7019942,2020-09-30,-1,SELB
232,1.5500,1.7200,1.4701,1.6700,7516913,2020-10-02,15,SELB
233,0.7600,0.7843,0.6152,0.7000,48205223,2020-10-01,0,ZSAN
234,1.6200,1.6500,1.5800,1.6200,7204698,2020-09-30,-1,ZSAN
235,0.6651,0.6999,0.6520,0.6601,7575036,2020-10-02,15,ZSAN
236,0.4505,0.4834,0.4060,0.4441,19624137,2020-10-21,0,ZSAN
237,0.6500,0.6621,0.5931,0.6146,3538006,2020-10-20,-1,ZSAN
238,0.4410,0.4490,0.4210,0.4250,4496829,2020-10-22,15,ZSAN
239,2.9000,3.2000,2.7500,3.0300,1652472,2020-10-02,0,BNTC
240,6.0900,6.2100,4.5100,4.7899,130458,2020-10-01,-1,BNTC
241,3.1500,3.2500,3.0500,3.2000,430076,2020-10-05,15,BNTC
242,0.2610,0.3295,0.2610,0.3170,2872223,2020-10-02,0,SYN
243,0.4700,0.4700,0.4300,0.4629,179876,2020-10-01,-1,SYN
244,0.3203,0.3800,0.3203,0.3700,1234185,2020-10-05,15,SYN
245,5.9600,6.1700,4.9200,5.1800,3172202,2020-10-07,0,ELSE
246,3.5000,8.8000,3.4500,8.5000,18282174,2020-10-06,-1,ELSE
247,5.0100,5.3700,4.6305,4.7000,506297,2020-10-08,15,ELSE
248,17.4500,17.7300,15.1600,16.0000,21073235,2020-10-08,0,CYTK
249,28.5400,29.5490,27.6100,27.6550,2317286,2020-10-07,-1,CYTK
250,16.1200,16.4999,15.0100,15.2600,7936265,2020-10-09,15,CYTK
251,2.6900,2.8000,2.6800,2.7900,5865596,2020-10-09,0,PIXY
252,3.5800,3.6000,3.4000,3.5900,718481,2020-10-08,-1,PIXY
253,2.8400,2.8500,2.5400,2.6100,2011396,2020-10-12,15,PIXY
254,5.1900,5.5000,4.4600,4.5300,6682323,2020-10-12,0,ATXI
255,10.7900,11.0800,10.5800,11.0400,163601,2020-10-09,-1,ATXI
256,4.2050,4.2100,3.6700,3.8700,2714834,2020-10-13,15,ATXI
257,3.0000,3.4800,2.9900,3.1700,5181732,2020-10-12,0,FBIO
258,4.4888,4.5800,4.1100,4.1700,2136824,2020-10-09,-1,FBIO
259,3.1000,3.1100,2.8500,3.0700,2318297,2020-10-13,15,FBIO
260,9.4357,10.7400,8.2200,10.0900,10504021,2020-10-13,0,GOSS
261,13.2100,13.6500,12.8900,13.5900,436605,2020-10-12,-1,GOSS
262,10.3100,10.5500,9.2500,9.3250,4009362,2020-10-14,15,GOSS
263,7.7500,8.6900,7.1101,7.8300,5762419,2020-10-13,0,LOOP
264,12.3500,12.7000,11.5600,11.6100,90899,2020-10-12,-1,LOOP
265,7.5300,7.7900,6.7700,7.5500,3708210,2020-10-14,15,LOOP
266,4.8000,5.8400,4.5600,4.7200,2105562,2020-10-13,0,WAFU
267,3.3900,7.7700,3.3900,6.8700,12550387,2020-10-12,-1,WAFU
268,4.5900,4.5901,4.1601,4.3800,276933,2020-10-14,15,WAFU
269,4.0910,4.2200,3.1600,3.3500,7296507,2020-10-14,0,CYCN
270,6.7000,7.1900,6.6300,7.1200,121549,2020-10-13,-1,CYCN
271,3.1500,3.1500,2.8550,2.9700,3233664,2020-10-15,15,CYCN
272,86.6200,95.3500,85.1000,89.7000,57719102,2020-10-15,0,FSLY
273,131.4500,133.1899,121.3600,123.1800,16636552,2020-10-14,-1,FSLY
274,91.0988,91.1100,84.0000,84.6700,28125195,2020-10-16,15,FSLY
275,4.9400,6.2000,4.4100,5.8400,1640939,2020-10-16,0,BMRA
276,7.7300,7.7300,7.2700,7.2900,347483,2020-10-15,-1,BMRA
277,5.8700,5.9900,5.5100,5.6400,236527,2020-10-19,15,BMRA
278,11.0500,12.7400,10.2200,12.3000,1376900,2020-10-16,0,OPT
279,11.1600,11.1600,11.1600,11.1600,10,2020-10-14,-1,OPT
280,13.2400,13.3000,12.6100,13.1500,350318,2020-10-19,15,OPT
281,1.7500,1.7900,1.5700,1.5800,7567047,2020-10-20,0,BXRX
282,2.6900,2.7600,2.6000,2.6400,179344,2020-10-19,-1,BXRX
283,1.5700,1.5700,1.3600,1.4200,4197786,2020-10-21,15,BXRX
284,0.0859,0.0946,0.0730,0.0754,68287163,2020-10-20,0,GLBS
285,0.1333,0.1333,0.1270,0.1300,22799980,2020-10-19,-1,GLBS
286,8.2300,8.2600,7.1200,7.5600,651510,2020-10-21,15,GLBS
287,0.4150,0.4545,0.4000,0.4000,7261606,2020-10-20,0,ISR
288,0.5749,0.5749,0.5601,0.5679,1166470,2020-10-19,-1,ISR
289,0.4120,0.4299,0.3900,0.4000,1805749,2020-10-21,15,ISR
290,3.6700,3.6800,2.1400,3.0000,24133790,2020-10-21,0,WEI
291,0.8500,5.4900,0.8200,5.1300,117732733,2020-10-20,-1,WEI
292,2.5300,2.6500,2.2100,2.4400,3507482,2020-10-22,15,WEI
293,2.6800,3.1300,2.1200,2.1200,8615510,2020-10-22,0,MRIN
294,2.7000,5.7000,1.8800,3.7600,167608050,2020-10-21,-1,MRIN
295,2.3500,4.7000,2.3100,3.4500,86499827,2020-10-23,15,MRIN
296,0.6298,0.6350,0.5660,0.6000,18030655,2020-10-22,0,NVIV
297,1.2600,1.2699,1.0400,1.1392,875464,2020-10-21,-1,NVIV
298,0.6200,0.6200,0.5700,0.5895,3991742,2020-10-23,15,NVIV
299,5.0000,8.4500,3.0000,6.6000,22939,2020-10-22,0,WINS
300,14.2100,14.2100,14.2100,14.2100,2200,2020-10-21,-1,WINS
301,6.5200,6.5500,5.1200,5.1200,9429,2020-10-23,15,WINS
302,4.0000,8.2900,3.6000,5.2000,25519976,2020-10-23,0,BVXV
303,37.6400,39.7300,35.8500,37.8800,53123,2020-10-22,-1,BVXV
304,4.3000,4.4700,3.7200,3.9000,6536774,2020-10-26,15,BVXV
305,0.5100,0.5627,0.5011,0.5253,33807341,2020-10-23,0,ITRM
306,1.0200,1.0299,0.9300,0.9501,3045595,2020-10-22,-1,ITRM
307,0.5117,0.5300,0.5032,0.5196,4683503,2020-10-26,15,ITRM
308,2.9100,3.5000,2.8500,3.2600,944795,2020-10-23,0,KBSF
