"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"CSCW","Color Star Technology Co. Ltd.","NASD","Industrial","Building Materials",,"",1.030,1172704
"CTRM","Castor Maritime Inc.","NASD","Industrial","Marine Transportation",,"",0.364,158076714
"IRIX","IRIDEX Corp.","NASD","Health Care","Medical Equipment",99.0,"sml",7.850,44164
"LIVE","Live Ventures Inc.","NASD","Communication Services","Publishing",,"",43.720,36607
"NAK","Northern Dynasty Minerals Ltd.","AMEX","Materials","General Mining",,"",0.548,3701992
"REFR","Research Frontiers Inc.","NASD","Technology","Electronic Equipment",5.8,"sml",2.310,108711
"SMLP","Summit Midstream Partners, LP","NYSE","Energy","Pipelines",,"",25.650,61158
"SXTC","China SXT Pharmaceuticals, Inc.","NASD","Health Care","Medical Supplies",,"",1.220,125287
"TLSA","Tiziana Life Sciences PLC","NASD","Health Care","Biotechnology",,"",2.310,161491
"TMBR","Timber Pharmaceuticals, Inc.","AMEX","Health Care","Biotechnology",,"",1.190,818314
"VOLT","Volt Info Sciences Inc.","AMEX","Consumer Discretionary","Business Training Agencies",,"",3.900,43463
"XELA","Exela Technologies, Inc.","NASD","Technology","Software",,"",1.560,1213575
