"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"BIOX","Bioceres Crop Solutions Corp.","AMEX","Materials","Commodity Chemicals",,"",15.390,37678
"CYTH","Cyclo Therapeutics Inc.","NASD","","",,"",7.610,592325
"FTCV","FinTech Acquisition Corp.","NASD","","",,"",10.850,279534
"JILL","J.Jill, Inc.","NYSE","Consumer Discretionary","Clothing & Accessories",,"",16.500,208588
"LC","Lending Club Corp.","NYSE","Financial","Consumer Finance",86.7,"sml",13.900,2582032
"RUBY","Rubius Therapeutics, Inc.","NASD","Health Care","Biotechnology",98.9,"sml",24.700,967254
"SSY","SunLink Health Systems, Inc.","AMEX","Health Care","Health Care Providers",,"",2.930,2214273
"STRM","Streamline Health Solutions Inc.","NASD","Technology","Software",,"",1.950,14514
"TIRX","Tian Ruixiang Holdings Ltd.","NASD","Financial","Property-Casualty Insurance",,"",9.850,293515
"UEC","Uranium Energy Corp.","AMEX","Materials","Nonferrous Metals",97.1,"sml",3.010,3707605
