"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AWX","Avalon Holdings Corp.","AMEX","Industrial","Waste & Disposal Services",,"",3.920,70222
"CEMI","Chembio Diagnostics Inc.","NASD","Health Care","Medical Equipment",1.8,"sml",3.180,351459
"GENI","Genius Sports Limited","NYSE","","",,"",20.210,1014244
"PFMT","Performant Financial Corp.","NASD","Industrial","Business Support Services",,"",2.510,634616
"RHE","Regional Health Properties, Inc.","AMEX","Real Estate","Specialty REITs",,"",11.100,1009114
"SVRA","Savara Inc.","NASD","Health Care","Biotechnology",43.6,"sml",1.710,1440342
