"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AAME","Atlantic American Corp.","NASD","Financial","Life Insurance",,"",4.160,57921
"ADXS","Advaxis Inc.","NASD","Health Care","Biotechnology",,"",0.452,12136561
"AXAS","Abraxas Petroleum Corp.","NASD","Energy","Exploration & Production",,"",2.250,143208
"CMCM","Cheetah Mobile Inc.","NYSE","Technology","Software",,"",2.270,189218
"CNFR","Conifer Holdings, Inc.","NASD","Financial","Property-Casualty Insurance",,"",2.670,9821
"CPSH","CPS Technologies Corp.","NASD","Communication Services","Mobile Telecommunications",,"",5.860,468173
"JP","Jupai Holdings Ltd.","NYSE","Financial","Investment Services",,"",1.860,33486
"RMCF","Rocky Mountain Chocolate Factory, Inc.","NASD","Consumer Staples","Food Products",,"",6.290,16253
"RYB","Ryb Education, Inc.","NYSE","Consumer Discretionary","Special Consumer Services",,"",3.499,204825
"WEI","Weidai Ltd.","NYSE","Financial","Specialty Finance",,"",0.993,242064
