"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AVEO","AVEO Pharmaceuticals Inc.","NASD","Health Care","Pharmaceuticals",27.7,"sml",6.820,573720
"CPNG","Coupang Inc.","NYSE","Consumer Discretionary","Broadline Retailers",,"",37.060,6749243
"FOSL","Fossil Group, Inc.","NASD","Consumer Discretionary","Clothing & Accessories",58.4,"sml",13.250,534883
"IBRX","ImmunityBio, Inc.","NASD","Health Care","Biotechnology",69.9,"sml",15.960,926041
"LGVN","Longeveron Inc.","NASD","Health Care","Biotechnology",,"",6.130,133661
"NVFY","Nova Lifestyle, Inc.","NASD","Consumer Discretionary","Furnishings",,"",2.760,67725
