"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AVRO","AVROBIO, Inc.","NASD","Health Care","Biotechnology",1.5,"sml",8.900,233571
"BGI","Birks Group Inc.","AMEX","Consumer Discretionary","Apparel Retailers",,"",2.770,262441
"EVLO","Evelo Biosciences, Inc.","NASD","Health Care","Biotechnology",90.2,"sml",11.110,81606
"INTZ","Intrusion Inc.","NASD","","",,"",13.000,254000
"MNMD","Mind Medicine MindMed Inc.","NASD","","",,"",3.440,7167860
"MRM","MEDIROM Healthcare Technologies Inc.","NASD","","",,"",9.000,8016
"NVAX","Novavax, Inc.","NASD","Health Care","Biotechnology",41.9,"mid",142.140,1893752
"PALI","Palisade Bio, Inc.","NASD","Health Care","Biotechnology",,"",3.630,619172
"RGLS","Regulus Therapeutics Inc.","NASD","Health Care","Biotechnology",50.5,"sml",0.950,897750
"SONN","Sonnet BioTherapeutics Holdings, Inc.","NASD","Health Care","Biotechnology",,"",1.550,573663
"VINO","Gaucho Group Holdings Inc.","NASD","Real Estate","Real Estate Development",,"",3.430,145438
"VXRT","Vaxart, Inc.","NASD","Health Care","Biotechnology",37.2,"sml",6.580,3610875
