"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ADPT","Adaptive Biotechnologies Corp.","NASD","Health Care","Biotechnology",,"",34.510,823661
"APPS","Digital Turbine, Inc.","NASD","Technology","Software",65.4,"sml",61.230,2443267
"CCNC","Code Chain New Continent Limited","NASD","Industrial","Waste & Disposal Services",,"",2.460,728642
"HPK","HighPeak Energy Inc.","NASD","","",,"",9.070,50059
"HYMCW","Hycroft Mining Holding Corporation","NASD","","",,"",0.700,56811
"IMVT","Immunovant Inc.","NASD","Health Care","Biotechnology",0.7,"sml",14.760,628577
"INBX","Inhibrx Inc.","NASD","Health Care","Biotechnology",,"",16.380,64846
"KOS","Kosmos Energy Ltd.","NYSE","Energy","Exploration & Production",85.8,"sml",2.970,5954237
"MYT","Urban Tea, Inc.","NASD","Materials","Specialty Chemicals",,"",1.820,481059
"ONDS","Ondas Holdings Inc.","NASD","","",,"",6.870,328169
"SEER","Seer Inc.","NASD","Health Care","Biotechnology",,"",31.680,298806
"SIFY","Sify Technologies Ltd.","NASD","Communication Services","Internet",,"",3.150,316578
"SLNO","Soleno Therapeutics, Inc.","NASD","Health Care","Biotechnology",1.0,"sml",1.010,609160
"SOS","SOS Limited","NYSE","Technology","Software",,"",3.230,18187331
"SOXL","Direxion Daily Semiconductor Bull 3x Shares","NYSE","","",,"",32.050,29061831
"VUZI","Vuzix Corp.","NASD","Technology","Electronic Equipment",98.3,"sml",16.030,2840573
