"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"CDXC","ChromaDex Corp.","NASD","Materials","Specialty Chemicals",66.9,"sml",7.740,713337
"CETX","Cemtrex Inc.","NASD","Technology","Electronic Equipment",,"",1.350,118470
"CMMB","Chemomab Therapeutics Ltd.","NASD","Health Care","Biotechnology",,"",19.160,295435
"DQ","Daqo New Energy Corp.","NYSE","Materials","Specialty Chemicals",,"",76.770,2498109
"FLGT","Fulgent Genetics, Inc.","NASD","Health Care","Health Care Providers",57.5,"sml",72.130,410459
"GLG","Bat Group, Inc.","NASD","Financial","Consumer Finance",,"",1.050,270239
"LKCO","Luokung Technology Corp.","NASD","Technology","Software",,"",1.160,2677190
"OBLN","Obalon Therapeutics, Inc.","NASD","Health Care","Medical Equipment",,"",2.760,666830
"QDEL","Quidel Corp.","NASD","Health Care","Medical Supplies",2.2,"mid",117.030,465953
"SOL","ReneSola Ltd.","NYSE","Technology","Renewable Energy Equipment",,"",7.930,1806131
"XELA","Exela Technologies, Inc.","NASD","Technology","Software",,"",1.550,1040526
