"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"EYES","Second Sight Medical Products, Inc.","Healthcare","Medical Devices","USA",48.81,,,,97.61,93.50,20.34,,,,-1.29,46.00%,,27.30%,,-0.10%,85.80%,,23.12,13.16,43.09%,0.00%,32.60%,1.20%,4.05%,0.27,-297.70%,,-465.10%,1.10,1.10,0.00,0.00,75.10%,,,-41.93%,24.67%,114.23%,94.53%,-68.27%,-68.50%,2.49,0.41,26.37%,18.45%,27.61%,86.73%,108.12%,-44.70%,226.39%,-63.28%,240.28%,59.52,18.09%,6.42%,2.00,1951.68,0.54,2.35,25.67%,1053956,,2.50,11/19/2014,2.35,0.00%
2,"CCNC","Code Chain New Continent Limited","Industrials","Waste Management","China",48.09,,,,5.40,2.28,10.23,,,,-0.03,-12.60%,,,,,-292.90%,-62.70%,28.79,17.86,13.60%,0.00%,,205.17%,0.26%,0.06,,,-7.00%,2.90,2.60,0.00,0.02,-3.60%,,,18.29%,20.50%,117.98%,-3.00%,56.45%,61.67%,0.92,0.18,12.12%,11.19%,33.21%,31.55%,38.18%,6.67%,67.16%,-45.37%,219.95%,69.11,12.56%,2.58%,,765.16,2.08,2.24,15.46%,1589841,,,12/29/2015,2.17,-3.12%
3,"ENTX","Entera Bio Ltd.","Healthcare","Biotechnology","Israel",20.10,,,,100.49,3.48,,,,,-0.68,1.20%,,,,,64.40%,0.00%,18.33,10.60,41.20%,0.00%,10.40%,-0.97%,0.47%,0.13,-85.70%,-128.00%,-93.90%,2.70,2.70,0.00,0.04,13.80%,,,0.00%,-8.56%,-11.48%,-38.64%,-47.25%,-49.53%,,0.08,5.04%,7.52%,14.23%,13.73%,-21.51%,-17.88%,22.77%,-63.53%,24.00%,65.94,11.71%,2.78%,2.00,389.95,2.56,1.24,14.81%,997367,11/19/2020 8:30:00 AM,,6/28/2018,1.24,0.00%
4,"AMTX","Aemetis, Inc.","Energy","Oil & Gas Refining & Marketing","USA",56.50,,,,0.31,,564.98,,,,-1.39,-7.00%,10.60%,-48.20%,,-0.60%,-90.30%,-28.70%,20.86,19.59,10.19%,0.00%,29.60%,34.08%,5.29%,0.47,-25.70%,17.40%,-18.80%,0.10,0.10,,,11.20%,1.50%,-16.00%,-15.31%,18.01%,-32.70%,206.12%,176.48%,200.00%,0.11,0.29,8.39%,11.26%,11.08%,-0.79%,56.60%,-44.31%,44.90%,-44.31%,666.53%,54.77,8.81%,4.82%,2.00,2191.66,0.49,2.84,14.06%,1080850,11/12/2020 8:30:00 AM,,6/27/2006,2.84,0.00%
5,"BPT","BP Prudhoe Bay Royalty Trust","Energy","Oil & Gas Refining & Marketing","USA",53.10,3.34,,,3.20,,265.49,,17.82%,106.50%,0.71,-57.70%,,-26.70%,,-26.50%,-102.40%,,21.40,21.40,1.00%,0.00%,2.20%,-24.58%,6.06%,3.87,,,5320.80%,,,,,,,92.10%,-16.78%,14.42%,61.90%,-24.68%,-66.62%,-65.41%,0.46,0.29,7.32%,11.63%,-9.15%,23.77%,-9.29%,-36.94%,112.70%,-71.72%,112.70%,51.09,11.67%,0.84%,,335.18,1.95,2.68,12.61%,653121,,,5/23/1989,2.68,0.00%
6,"SND","Smart Sand, Inc.","Energy","Oil & Gas Equipment & Services","USA",75.70,1.62,,,0.52,0.24,6.88,5.82,,0.00%,1.06,69.70%,-120.00%,22.20%,-2.60%,27.90%,234.30%,-64.40%,39.97,23.55,5.90%,-1.89%,42.20%,-4.30%,10.92%,7.49,11.40%,16.80%,12.50%,2.70,2.10,0.08,0.10,30.20%,35.40%,29.90%,-7.03%,-8.51%,33.33%,48.28%,-30.08%,-31.75%,2.10,0.12,4.72%,6.23%,-0.31%,13.09%,52.79%,-15.35%,58.20%,-24.61%,250.85%,55.86,10.92%,1.16%,3.00,343.28,1.68,1.93,12.21%,575471,11/9/2020 4:30:00 PM,2.13,11/4/2016,1.93,0.00%
7,"ICON","Iconix Brand Group, Inc.","Consumer Cyclical","Apparel Manufacturing","USA",14.20,,,,0.12,,0.20,0.43,,,-9.93,36.20%,,-20.90%,15.00%,-17.60%,147.80%,-31.00%,13.17,12.75,4.24%,0.00%,15.60%,44.93%,0.86%,0.08,-18.90%,29.90%,-10.70%,1.30,1.30,,,,4.70%,-74.80%,12.50%,38.16%,80.00%,35.05%,-13.10%,-6.67%,2.33,0.10,8.42%,9.84%,25.58%,55.79%,60.92%,2.94%,131.40%,-27.08%,176.03%,72.72,7.69%,3.17%,2.00,1385.83,0.84,1.40,11.11%,1166243,,,1/22/1990,1.40,-0.01%
8,"CPHI","China Pharma Holdings, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","China",19.79,,,,1.80,2.48,65.96,,,,-0.47,-92.60%,,12.10%,10.00%,-13.20%,-44.10%,0.00%,43.58,21.94,0.30%,0.00%,3.00%,7.77%,0.59%,0.21,-91.70%,-240.90%,-149.00%,0.40,0.10,0.11,0.62,15.30%,,,-4.85%,-16.48%,23.29%,-26.07%,80.12%,88.26%,0.44,0.05,9.98%,8.73%,8.94%,11.67%,4.63%,-18.06%,32.43%,-65.00%,106.93%,56.76,11.41%,-1.35%,2.00,610.93,2.09,0.49,9.91%,1274519,,,4/17/2002,0.49,-0.04%
9,"GNLN","Greenlane Holdings, Inc.","Healthcare","Pharmaceutical Retailers","USA",53.62,,,,0.38,2.75,1.34,,,,-0.45,-388.60%,84.10%,,,,-414.50%,-20.30%,12.80,12.59,0.40%,-88.33%,36.20%,3.59%,5.37%,1.96,-10.30%,-67.80%,-113.80%,2.70,1.70,0.50,0.52,16.60%,-34.50%,-10.00%,-7.26%,-5.04%,75.22%,9.70%,15.79%,21.66%,,0.37,6.43%,9.85%,3.00%,23.36%,43.97%,-12.65%,80.50%,-12.65%,327.14%,57.38,9.57%,0.25%,1.60,345.90,1.49,4.35,9.85%,516409,11/12/2020 8:30:00 AM,5.40,4/18/2019,4.35,0.00%
10,"SALM","Salem Media Group, Inc.","Communication Services","Broadcasting","USA",29.40,,,,0.12,0.21,1.52,1.21,,,-2.32,-761.50%,100.00%,-47.60%,7.00%,-1.00%,101.60%,-5.50%,26.68,11.12,47.39%,-0.26%,9.90%,-27.28%,6.65%,1.01,-11.40%,-42.20%,-2.50%,0.90,0.90,1.62,1.75,17.40%,-4.70%,-26.20%,0.00%,-0.95%,14.29%,-6.31%,-29.25%,-27.78%,1.71,0.05,4.43%,5.01%,6.67%,12.22%,6.26%,-6.56%,45.63%,-56.49%,75.38%,60.19,8.57%,0.96%,1.50,734.43,0.99,1.14,9.62%,724135,11/12/2020 4:30:00 PM,,7/1/1999,,
