"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"HNRG","Hallador Energy Company","Energy","Thermal Coal","USA",32.29,,4.70,,0.12,0.17,6.09,1.16,,,-1.99,-888.00%,1250.00%,-50.40%,,5.90%,151.80%,-21.70%,30.47,22.81,3.80%,0.00%,32.70%,-9.01%,1.23%,1.14,-1.20%,-2.70%,-12.00%,1.10,0.40,0.60,0.79,25.60%,1.50%,-2.00%,-0.92%,1.89%,66.13%,62.80%,-62.89%,-63.64%,0.68,0.07,4.87%,6.68%,22.97%,38.70%,60.53%,8.40%,80.42%,-57.00%,115.00%,71.51,17.27%,1.85%,,245.06,6.34,1.29,19.44%,1554078,11/2/2020 4:30:00 PM,,1/20/1997,1.27,-1.55%
2,"TGC","Tengasco, Inc.","Energy","Oil & Gas E&P","USA",12.14,,,,3.57,2.62,4.86,,,,-0.19,-198.40%,,20.60%,,-18.70%,-345.70%,-33.30%,10.68,10.47,1.80%,0.00%,3.40%,0.81%,1.06%,0.08,-25.40%,-37.60%,-7.60%,3.80,3.50,0.02,0.04,2.90%,-58.90%,-60.20%,-15.38%,-6.31%,39.24%,97.74%,131.49%,124.44%,1.45,0.14,10.36%,12.28%,8.73%,19.57%,69.57%,-70.34%,61.62%,-70.34%,250.31%,56.28,15.45%,1.82%,,1435.09,0.25,1.29,17.55%,365037,,,12/28/1998,1.21,-6.42%
3,"LAIX","LAIX Inc.","Consumer Defensive","Education & Training Services","China",71.20,,,,0.48,,1.42,,,,-1.73,-8.20%,1.40%,,,,67.00%,-8.70%,49.47,29.44,,,36.70%,-0.02%,0.21%,0.51,-75.40%,107.80%,180.50%,0.40,0.40,,,69.40%,-60.00%,-58.40%,-0.70%,-25.00%,-31.55%,-43.60%,-75.35%,-70.99%,,0.09,3.75%,6.35%,7.85%,-6.73%,-38.03%,-38.58%,14.71%,-75.81%,14.71%,53.79,10.64%,0.00%,4.00,123.60,4.10,1.56,10.64%,506681,,1.50,9/27/2018,,
4,"PZG","Paramount Gold Nevada Corp.","Basic Materials","Gold","USA",36.99,,,,46.24,0.78,8.22,,,,-0.24,-1.00%,,18.30%,,39.80%,-7.80%,,33.72,26.43,0.70%,11.76%,8.20%,97.65%,0.52%,1.18,-13.00%,-14.80%,,8.70,8.70,0.11,0.11,23.50%,,,-0.91%,3.70%,-5.22%,-12.80%,44.20%,40.94%,1.99,0.05,3.74%,4.53%,8.66%,8.53%,8.42%,-4.77%,24.99%,-18.93%,154.49%,62.48,10.08%,0.00%,1.50,116.69,4.94,1.20,10.08%,576082,,,4/10/2015,1.21,0.84%
5,"CYRN","CYREN Ltd.","Technology","Software - Infrastructure","USA",62.72,,,,1.67,3.85,4.86,,,,-0.30,9.80%,-13.60%,-5.90%,20.00%,3.80%,-24.80%,-4.20%,60.58,26.61,2.80%,0.00%,67.30%,0.72%,0.05%,0.05,-26.60%,-86.60%,-50.60%,1.00,1.00,1.25,1.25,59.40%,-45.20%,-47.00%,-33.33%,6.38%,-4.76%,-15.61%,-14.53%,-21.87%,0.71,0.14,12.80%,12.98%,3.46%,8.83%,0.66%,-38.29%,33.98%,-45.18%,248.39%,51.71,4.85%,3.00%,2.00,268.02,1.61,1.08,8.00%,432167,11/16/2020 4:30:00 PM,1.50,7/13/1999,1.08,0.00%
6,"EYES","Second Sight Medical Products, Inc.","Healthcare","Medical Devices","USA",64.91,,,,129.82,109.50,27.05,,,,-1.29,46.00%,,27.30%,,-0.10%,85.80%,,23.12,13.16,43.09%,0.00%,32.60%,1.06%,4.05%,0.28,-297.70%,,-465.10%,1.10,1.10,0.00,0.00,75.10%,,,31.14%,100.92%,151.72%,123.36%,-63.01%,-63.11%,2.46,0.40,40.05%,23.72%,37.28%,99.39%,107.15%,-44.47%,227.78%,-63.13%,241.73%,62.51,3.51%,4.11%,2.00,1922.62,1.03,2.36,7.76%,1971793,,2.50,11/19/2014,2.34,-0.85%
7,"RNWK","RealNetworks, Inc.","Communication Services","Electronic Gaming & Multimedia","USA",56.23,,,,0.60,1.53,,,,,-0.45,20.80%,,23.40%,,2.00%,38.20%,-6.20%,38.27,20.79,1.10%,0.00%,27.40%,-2.05%,1.81%,0.92,-11.30%,-44.60%,-67.00%,1.10,1.10,0.06,0.17,60.40%,-16.60%,-18.80%,1.40%,-8.23%,17.89%,13.28%,16.94%,20.83%,1.60,0.09,6.93%,6.29%,2.26%,4.31%,21.69%,-23.00%,26.23%,-31.25%,381.25%,55.97,-3.75%,10.34%,,410.31,1.75,1.54,6.21%,716792,11/3/2020 4:30:00 PM,,11/21/1997,1.58,2.60%
8,"WTT","Wireless Telecom Group, Inc.","Technology","Communication Equipment","USA",36.65,,,,0.85,1.18,16.66,61.09,,,-0.11,,50.00%,-16.80%,,3.90%,-61.70%,0.90%,21.70,19.74,0.20%,0.00%,33.50%,-0.44%,0.10%,0.31,-4.70%,-7.50%,-0.30%,1.90,1.10,0.30,0.31,49.70%,-5.30%,-5.50%,-2.35%,6.94%,18.57%,74.72%,22.96%,16.08%,0.83,0.13,7.00%,8.53%,-2.31%,11.08%,43.43%,-31.78%,32.34%,-31.78%,147.90%,52.52,4.77%,1.20%,2.00,64.14,4.95,1.76,6.03%,317343,11/13/2020 8:30:00 AM,,10/21/1991,1.77,0.56%
9,"SEAC","SeaChange International, Inc.","Technology","Software - Application","USA",36.68,,,,1.01,1.05,6.22,,,,-0.47,77.20%,41.70%,21.90%,,-10.30%,-339.80%,-75.60%,37.56,27.91,2.70%,0.00%,28.20%,-13.84%,0.94%,0.76,-27.60%,-41.30%,-17.90%,2.30,,0.03,0.07,58.30%,-52.20%,-48.20%,24.19%,2.20%,5.89%,-37.51%,-75.72%,-76.58%,0.71,0.10,10.90%,10.98%,17.05%,22.93%,-35.01%,-5.45%,50.72%,-79.12%,50.72%,63.63,5.05%,0.91%,2.50,342.46,3.44,1.04,6.00%,1178827,12/10/2020 4:30:00 PM,,11/5/1996,1.04,0.00%
10,"HDSN","Hudson Technologies, Inc.","Basic Materials","Specialty Chemicals","USA",45.20,,208.00,,0.30,0.98,4.91,1.94,,,-0.26,53.50%,100.00%,36.28%,30.00%,23.80%,-98.60%,-9.00%,42.66,32.17,11.40%,-2.08%,38.10%,0.98%,2.98%,1.44,-6.20%,-25.30%,-11.40%,1.80,0.70,1.76,1.91,23.00%,2.00%,-7.40%,-7.96%,-7.14%,-10.34%,5.05%,6.44%,6.39%,1.30,0.12,8.46%,11.65%,-17.88%,-9.05%,5.36%,-37.85%,8.91%,-37.85%,111.54%,42.42,-0.90%,6.73%,3.00,663.49,1.89,1.10,5.77%,1253400,11/5/2020 4:30:00 PM,1.32,11/1/1994,1.09,-0.91%
