"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"HOTH","Hoth Therapeutics, Inc.","Healthcare","Biotechnology","USA",21.93,,,,,4.10,4.06,,,,-0.93,-69.50%,37.70%,,,,8.10%,,13.44,8.35,37.89%,0.00%,1.60%,-26.72%,0.29%,0.11,-192.10%,-213.10%,,9.60,9.60,0.00,0.00,,,,-1.20%,-4.65%,-16.75%,-36.43%,-73.51%,-73.51%,,0.09,7.25%,5.68%,40.24%,37.41%,-5.42%,18.50%,51.92%,-67.08%,51.92%,78.63,-20.74%,82.32%,2.00,215.33,523.91,2.37,44.51%,112812398,,,2/15/2019,2.38,0.42%
2,"LXU","LSB Industries, Inc.","Basic Materials","Chemicals","USA",76.15,,,,0.23,0.40,1.81,,,,-3.70,8.00%,33.80%,-40.89%,12.00%,-5.90%,24.10%,-2.00%,28.21,25.56,0.60%,0.00%,33.30%,-11.65%,2.36%,3.17,-9.60%,-49.30%,-2.50%,1.40,1.20,2.64,2.73,2.40%,-10.90%,-31.00%,-5.55%,1.60%,57.41%,109.02%,-39.28%,-39.28%,2.86,0.23,8.42%,8.76%,21.90%,38.85%,88.51%,10.06%,83.24%,-22.43%,239.00%,66.36,30.38%,1.96%,,190.09,7.79,3.39,32.94%,1481171,11/5/2020 4:30:00 PM,,11/4/1969,3.33,-1.77%
3,"DRAD","Digirad Corporation","Healthcare","Medical Devices","USA",13.70,,3.81,,0.12,0.71,3.19,,,,-3.14,-41.20%,241.50%,-32.30%,16.00%,15.50%,35.70%,7.40%,4.72,4.42,6.10%,6.18%,11.10%,-2.92%,3.39%,0.15,-9.50%,-42.00%,-7.90%,1.30,0.90,0.94,1.21,18.00%,-5.10%,-7.00%,-2.05%,-5.30%,14.86%,3.25%,10.00%,10.00%,0.19,0.16,4.08%,5.17%,25.13%,28.72%,26.43%,7.49%,54.74%,-59.39%,80.40%,71.58,24.65%,0.70%,2.00,991.36,2.56,3.59,25.52%,2538318,11/13/2020 8:30:00 AM,,6/10/2004,3.80,5.85%
4,"PED","PEDEVCO Corp.","Energy","Oil & Gas E&P","USA",84.63,,,,8.38,0.92,10.07,,,,-0.15,-104.60%,,54.00%,,21.90%,54.30%,-22.60%,72.25,8.41,13.10%,-0.84%,1.30%,41.70%,2.73%,0.24,-9.90%,-10.90%,-9.70%,4.70,4.70,0.00,0.00,46.70%,,,7.76%,-7.41%,-16.11%,55.65%,-24.70%,-24.70%,1.22,0.09,11.48%,6.34%,23.62%,9.29%,40.92%,-19.25%,36.04%,-40.78%,126.45%,65.39,-8.48%,32.00%,,969.96,14.04,1.51,20.80%,13622345,,,5/2/2003,1.46,-3.31%
5,"CGA","China Green Agriculture, Inc.","Basic Materials","Agricultural Inputs","China",19.93,,,,0.08,0.07,1.67,,,,-22.94,-811.40%,,-33.20%,12.50%,-1.10%,-510.90%,-17.10%,6.37,4.40,30.75%,0.00%,0.90%,3.47%,1.15%,0.45,-33.20%,-41.10%,-51.30%,3.60,2.30,0.00,0.01,18.00%,-53.80%,-54.90%,5.24%,10.26%,20.40%,0.67%,7.12%,7.12%,0.67,0.30,14.59%,11.76%,43.29%,37.17%,35.21%,-2.13%,68.22%,-16.08%,103.39%,71.62,19.60%,0.00%,,111.61,20.91,3.60,19.60%,2333873,,,2/20/2008,3.15,-12.50%
6,"AEMD","Aethlon Medical, Inc.","Healthcare","Medical Devices","USA",25.59,,,,42.64,1.82,1.76,,,,-0.79,63.60%,21.80%,36.60%,,-3.10%,88.70%,,12.07,11.77,1.00%,-17.85%,10.40%,1.74%,3.89%,0.21,-49.70%,-54.60%,-67.80%,9.90,9.90,0.00,0.00,,,,-3.27%,11.29%,53.33%,7.81%,116.73%,114.95%,0.62,0.19,5.27%,9.56%,26.60%,45.91%,52.79%,-19.54%,87.12%,-43.09%,177.53%,67.89,17.62%,1.45%,2.00,2140.89,1.64,2.47,19.32%,3507146,10/28/2020 4:30:00 PM,,5/11/1994,2.50,1.21%
7,"JAGX","Jaguar Health, Inc.","Healthcare","Biotechnology","USA",97.85,,,,11.79,13.84,75.27,,,,-1.90,94.10%,,,40.00%,,89.70%,180.00%,94.87,63.07,10.63%,0.00%,7.60%,142.83%,3.67%,0.07,-98.40%,-853.40%,-208.00%,0.40,0.30,1.29,4.52,61.10%,,,74.84%,97.77%,139.03%,43.96%,-13.61%,-13.61%,1.68,0.14,36.69%,25.19%,71.79%,148.25%,81.75%,-36.82%,340.54%,-36.82%,340.54%,64.35,22.19%,-3.61%,1.00,32699.95,4.32,0.81,17.77%,141322656,11/16/2020 8:30:00 AM,,5/13/2015,0.79,-3.07%
8,"CCNC","Code Chain New Continent Limited","Industrials","Waste Management","China",45.59,,,,5.12,1.94,9.70,,,,-0.03,-12.60%,,,,,-292.90%,-62.70%,28.79,17.86,13.60%,0.00%,,152.02%,0.26%,0.06,,,-7.00%,2.90,2.60,0.00,0.02,-3.60%,,,8.55%,-2.37%,84.15%,-17.09%,87.50%,37.50%,0.93,0.16,8.96%,10.57%,16.76%,14.02%,19.97%,-7.62%,44.78%,-52.68%,177.10%,61.27,16.87%,0.61%,,762.17,1.24,1.94,17.58%,946923,,,12/29/2015,1.89,-2.58%
9,"ICON","Iconix Brand Group, Inc.","Consumer Cyclical","Apparel Manufacturing","USA",14.40,,,,0.12,,0.20,0.43,,,-9.93,36.20%,,-20.90%,15.00%,-17.60%,147.80%,-31.00%,13.17,12.75,4.24%,0.00%,15.60%,35.52%,0.86%,0.08,-18.90%,29.90%,-10.70%,1.30,1.30,,,,4.70%,-74.80%,-5.26%,24.14%,51.47%,15.14%,-20.00%,-20.00%,2.31,0.09,6.18%,9.35%,15.14%,41.92%,45.39%,-7.35%,108.26%,-34.37%,148.42%,66.69,13.51%,2.78%,2.00,1386.87,0.95,1.26,16.67%,1316847,,,1/22/1990,1.27,0.79%
10,"ELSE","Electro-Sensors, Inc.","Technology","Scientific & Technical Instruments","USA",14.51,,,,1.84,1.11,1.59,,,,-0.01,,,-28.70%,,3.20%,-342.40%,-5.00%,3.40,2.23,34.32%,0.00%,6.40%,1.83%,0.30%,0.02,-0.20%,-0.20%,-0.20%,15.80,13.60,0.00,0.00,51.90%,-3.10%,-0.30%,2.46%,-0.71%,20.46%,22.11%,8.03%,14.88%,0.64,0.22,4.60%,4.39%,16.10%,21.40%,31.07%,3.44%,42.73%,-45.34%,84.29%,70.44,15.07%,0.24%,,434.06,6.01,4.81,15.35%,2609540,,,6/9/1981,4.66,-3.12%
