"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"CGA",17.58%,0.37%,11.06%,-4.24%,5.86%,-3.56%,15.88%,8.92%,,69.67,1.04,2.86,5.54%,72691
2,"CNSP",1.65%,14.88%,34.24%,-0.40%,-39.61%,-37.47%,22.54%,12.53%,1.70,869.97,2.48,2.10,-14.98%,2160381
3,"CYRN",7.48%,12.75%,23.64%,0.00%,-12.17%,-10.16%,25.23%,12.55%,2.00,232.96,4.71,1.09,-5.22%,1096621
4,"DARE",20.87%,5.30%,37.62%,36.27%,65.59%,69.51%,8.93%,9.63%,2.00,954.69,1.10,1.31,-5.76%,1046569
5,"NMRD",22.49%,9.71%,24.18%,-61.56%,28.41%,29.14%,9.07%,7.10%,2.00,42.20,2.37,4.37,-3.32%,100216
6,"VTGN",84.66%,98.56%,125.20%,170.06%,69.10%,100.09%,19.56%,10.42%,2.30,1263.84,4.39,1.42,2.90%,5545182
