"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"IRIX","IRIDEX Corporation","Healthcare","Medical Devices","USA",27.20,,,,0.76,1.56,2.29,,,,-0.56,38.80%,46.40%,-21.60%,30.00%,0.30%,4.60%,-17.80%,13.89,11.23,2.40%,0.00%,47.70%,-3.07%,1.77%,2.54,-25.00%,-38.60%,-39.70%,2.80,2.00,0.06,0.14,41.40%,-22.10%,-21.50%,16.87%,14.12%,2.11%,-5.83%,-24.37%,-13.00%,1.10,0.12,6.45%,5.96%,34.22%,33.34%,26.13%,17.56%,50.63%,-43.16%,97.54%,76.45,18.72%,4.64%,,78.26,8.02,2.41,24.23%,627662,11/9/2020 4:30:00 PM,,2/16/1996,2.70,12.03%
2,"SRAX","SRAX, Inc.","Communication Services","Advertising Agencies","USA",42.60,,,,8.19,2.11,5.92,,,,-1.46,-257.70%,38.90%,-6.10%,15.00%,-6.90%,-516.60%,160.00%,14.48,13.42,16.26%,0.00%,4.20%,-4.61%,6.14%,10.46,-76.30%,-137.10%,-142.90%,0.70,0.70,0.18,0.42,61.80%,,,6.50%,-8.71%,-5.07%,9.17%,79.45%,5.22%,2.05,0.20,8.34%,6.86%,19.94%,17.70%,29.00%,-5.74%,51.46%,-7.07%,141.86%,68.04,14.71%,3.82%,2.00,78.74,13.64,3.12,19.08%,1073931,11/16/2020 8:30:00 AM,,10/12/2012,3.35,7.37%
3,"IMH","Impac Mortgage Holdings, Inc.","Financial","Mortgage Finance","USA",60.90,,4.38,,26.48,3.52,1.10,0.07,,,-4.08,94.60%,125.70%,11.10%,4.00%,15.50%,11.20%,-24.40%,21.26,11.48,16.10%,25.85%,21.20%,-1.80%,0.64%,0.46,-3.10%,-201.70%,-0.70%,,,3.94,139.58,,,,3.26%,64.74%,150.00%,69.64%,-46.43%,-45.82%,0.76,0.24,9.77%,11.68%,25.79%,68.01%,83.67%,3.46%,153.31%,-58.09%,199.09%,70.33,10.03%,4.91%,,157.74,2.40,3.29,15.44%,378273,11/5/2020 4:30:00 PM,,11/21/1995,3.30,0.30%
4,"CPHI","China Pharma Holdings, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","China",20.38,,,,1.85,2.49,67.93,,,,-0.47,-92.60%,,12.10%,10.00%,-13.20%,-44.10%,0.00%,43.58,21.94,0.30%,0.00%,3.00%,7.56%,0.59%,0.22,-91.70%,-240.90%,-149.00%,0.40,0.10,0.11,0.62,15.30%,,,1.89%,-17.89%,18.07%,-31.48%,94.57%,88.98%,0.44,0.04,6.79%,9.73%,11.33%,16.00%,7.43%,-15.57%,36.46%,-63.94%,124.40%,60.91,12.83%,0.00%,2.00,588.81,3.30,0.50,12.83%,1944035,,,4/17/2002,,
5,"SEAC","SeaChange International, Inc.","Technology","Software - Application","USA",32.90,,,,0.91,0.95,5.58,,,,-0.47,77.20%,41.70%,21.90%,,-10.30%,-339.80%,-75.60%,37.56,27.91,2.70%,0.00%,28.20%,-13.84%,0.94%,0.82,-27.60%,-41.30%,-17.90%,2.30,,0.03,0.07,58.30%,-52.20%,-48.20%,10.61%,-3.36%,0.17%,-38.04%,-79.00%,-79.00%,0.71,0.09,9.05%,10.73%,10.06%,16.38%,-39.03%,-10.81%,42.19%,-80.30%,42.19%,59.68,10.24%,1.15%,2.50,320.03,4.25,0.98,11.50%,1359727,12/10/2020 4:30:00 PM,,11/5/1996,0.98,0.00%
6,"UTSI","UTStarcom Holdings Corp.","Technology","Communication Equipment","China",47.80,,,,1.17,0.54,1.45,,,,-0.51,-182.90%,,32.90%,22.00%,-12.70%,,-44.50%,35.69,10.96,70.60%,0.00%,3.90%,7.07%,6.08%,0.83,-11.50%,-18.50%,-6.20%,2.70,2.50,0.00,0.00,36.20%,-32.00%,-44.30%,-6.13%,40.85%,23.58%,-31.05%,-54.83%,-55.59%,1.40,0.16,8.58%,13.77%,7.55%,26.57%,-7.11%,-44.09%,72.75%,-51.99%,72.75%,57.79,2.16%,6.11%,,806.28,0.51,1.42,8.40%,409207,,,3/3/2000,1.38,-2.82%
7,"RETO","ReTo Eco-Solutions, Inc.","Basic Materials","Building Materials","China",15.10,,,,1.06,0.44,,,,,-0.64,-565.00%,,,,16.50%,-361.30%,-83.80%,23.62,10.80,55.27%,0.00%,1.00%,372.82%,0.39%,0.05,-20.60%,-36.90%,-21.40%,0.90,0.80,0.19,0.44,24.20%,-90.30%,,-8.20%,1.64%,20.22%,-53.03%,-31.11%,-29.38%,,0.05,5.68%,9.68%,1.63%,1.99%,-8.77%,-23.32%,25.39%,-65.26%,122.37%,53.72,5.89%,1.61%,,882.91,0.87,0.67,7.60%,768469,,,11/29/2017,0.67,0.00%
8,"QUIK","QuickLogic Corporation","Technology","Semiconductors","USA",42.59,,,,4.73,2.82,1.72,,,,-1.28,6.90%,72.20%,9.40%,20.00%,-18.00%,63.50%,-18.20%,11.02,10.91,0.30%,0.00%,26.10%,-1.39%,0.27%,0.42,-33.40%,-83.60%,-53.10%,1.60,1.40,0.04,1.14,54.50%,,,15.56%,29.54%,16.67%,15.19%,-17.83%,-39.33%,1.96,0.26,13.67%,7.40%,18.56%,27.74%,12.67%,-14.63%,55.16%,-55.67%,84.68%,64.34,4.83%,2.47%,2.00,70.62,2.17,3.91,7.42%,153443,11/4/2020 4:30:00 PM,5.00,10/15/1999,,
9,"KIQ","Kelso Technologies Inc.","Industrials","Railroads","Canada",26.42,16.47,,,1.75,2.15,,,,,0.03,,,,,,,-71.70%,47.17,45.07,4.27%,0.00%,5.04%,,0.39%,2.06,,,,,,,,,,,9.83%,9.83%,11.13%,-15.23%,-23.29%,-22.56%,,0.03,5.13%,6.65%,16.16%,12.13%,5.06%,-3.21%,34.83%,-39.97%,34.83%,69.89,7.14%,0.00%,,84.77,2.81,0.60,7.14%,238123,10/29/2020 8:30:00 AM,,10/20/2003,,
10,"CLSD","Clearside Biomedical, Inc.","Healthcare","Biotechnology","USA",97.20,,,,9.92,11.65,,,,,-0.32,70.10%,-13.90%,-9.20%,,,69.60%,2334.00%,46.98,44.39,7.10%,19.47%,41.40%,0.95%,2.25%,4.05,-65.30%,-153.40%,-185.90%,2.00,2.00,0.05,0.12,,,,-5.71%,19.28%,26.92%,2.59%,-41.76%,-31.72%,1.37,0.16,5.60%,9.34%,4.10%,23.13%,19.15%,-11.67%,69.60%,-48.67%,92.73%,59.13,7.61%,-0.51%,2.30,246.68,4.35,2.12,7.07%,1073279,11/10/2020 4:30:00 PM,,6/2/2016,,
