"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"HNRG","Hallador Energy Company","Energy","Thermal Coal","USA",38.57,,5.61,,0.15,0.21,7.28,1.38,,,-1.99,-888.00%,1250.00%,-50.40%,,5.90%,151.80%,-21.70%,30.47,22.81,3.80%,0.00%,32.70%,-9.01%,1.23%,1.06,-1.20%,-2.70%,-12.00%,1.10,0.40,0.60,0.79,25.60%,1.50%,-2.00%,22.86%,19.44%,92.54%,96.95%,-55.36%,-56.57%,0.68,0.09,9.35%,7.61%,45.68%,64.64%,92.46%,16.54%,116.78%,-48.33%,158.33%,80.12,30.25%,-7.75%,,265.72,5.28,1.55,20.16%,1402193,11/2/2020 4:30:00 PM,,1/20/1997,1.51,-2.58%
2,"TOMZ","TOMI Environmental Solutions, Inc.","Industrials","Pollution & Treatment Controls","USA",70.29,11.41,,,3.03,5.23,11.91,15.28,,0.00%,0.36,29.50%,,-60.80%,,23.10%,460.90%,168.70%,16.74,10.21,0.10%,0.00%,,,0.37%,0.18,49.00%,78.10%,-35.30%,5.00,3.50,0.03,0.03,60.00%,30.10%,29.10%,0.98%,-2.82%,-31.85%,-59.67%,369.32%,357.67%,-5.70,0.43,12.22%,10.35%,12.21%,-14.47%,-35.46%,-50.32%,29.49%,-71.65%,528.91%,52.68,17.80%,-0.73%,,202.79,1.57,4.83,16.95%,319185,11/12/2020 4:30:00 PM,,6/20/2008,4.82,-0.21%
3,"BSQR","BSQUARE Corporation","Technology","Software - Application","USA",17.61,,,,0.34,2.14,,,,,-0.24,34.10%,,-41.00%,,-9.20%,87.90%,-28.80%,13.17,12.33,5.90%,9.79%,28.70%,0.75%,0.07%,0.15,-13.50%,-33.70%,-96.20%,1.80,1.80,0.07,0.19,15.90%,-6.00%,-5.90%,8.59%,-4.79%,3.55%,-12.58%,1.83%,0.00%,1.51,0.09,7.37%,6.96%,16.48%,18.22%,16.57%,-5.49%,40.91%,-22.50%,86.75%,67.33,12.32%,-0.72%,,60.90,13.68,1.55,11.51%,833194,11/12/2020 4:30:00 PM,1.47,10/20/1999,1.45,-6.45%
4,"OSS","One Stop Systems, Inc.","Technology","Computer Hardware","USA",51.55,72.20,49.45,,0.91,2.10,9.37,,,0.00%,0.05,34.20%,217.39%,,,,51.60%,-12.80%,16.59,11.60,9.50%,-9.16%,29.50%,9.71%,0.62%,0.44,2.10%,3.00%,-3.30%,2.50,1.50,0.08,0.19,32.20%,1.60%,1.50%,21.14%,33.70%,69.48%,83.25%,87.05%,78.71%,,0.35,18.02%,8.68%,33.27%,52.69%,87.99%,-24.95%,89.57%,-24.95%,577.97%,72.62,11.42%,-0.55%,2.00,164.45,1.88,4.00,10.80%,308833,11/12/2020 4:30:00 PM,4.33,2/1/2018,4.07,1.75%
5,"ANIX","Anixa Biosciences, Inc.","Healthcare","Diagnostics & Research","USA",68.94,,,,,7.89,7.66,,,,-0.46,25.90%,-8.50%,11.80%,,-41.60%,-3.90%,,23.17,22.37,5.40%,5.63%,7.70%,14.41%,3.23%,1.25,-142.50%,-160.80%,-228.70%,7.60,7.60,0.00,0.00,,,,6.18%,5.04%,14.06%,-4.58%,-9.60%,-10.98%,1.58,0.34,8.18%,14.58%,11.99%,30.25%,36.08%,-40.93%,67.02%,-40.93%,139.85%,65.65,8.50%,0.68%,2.00,578.20,1.98,3.19,9.25%,1144234,,,10/7/1983,,
6,"IMBI","iMedia Brands, Inc.","Consumer Cyclical","Internet Retail","USA",54.96,,,,0.12,1.71,2.89,274.79,,,-3.41,-125.00%,9.40%,-44.99%,30.00%,-5.70%,56.20%,-5.40%,12.18,10.10,2.40%,380.50%,17.70%,134.85%,0.35%,0.55,-13.40%,-146.20%,-59.80%,1.20,0.70,1.72,1.82,35.30%,-5.30%,-6.40%,2.00%,-33.77%,-29.66%,16.57%,3.82%,2.26%,2.75,0.38,4.99%,6.24%,-9.37%,-19.58%,1.90%,-43.24%,12.21%,-50.23%,226.67%,39.79,8.62%,-0.49%,2.00,64.36,1.01,4.41,8.09%,64730,11/24/2020 8:30:00 AM,,6/28/1991,,
7,"WEI","Weidai Ltd.","Technology","Software - Application","China",91.52,,,,0.25,0.33,,,,,-0.95,-54.50%,,,,,-779.00%,-12.30%,70.46,35.38,,,0.10%,-72.87%,0.18%,0.01,,,3.90%,1.60,1.60,0.00,0.09,53.80%,,,-10.49%,-31.91%,45.21%,-1.54%,-58.16%,-58.84%,,0.15,7.79%,7.79%,-7.97%,-19.95%,-0.83%,-74.86%,89.04%,-74.86%,89.04%,43.97,4.55%,3.13%,4.00,5714.79,0.18,1.38,7.81%,1002962,,2.16,11/15/2018,1.38,0.00%
8,"FPAY","FlexShopper, Inc.","Industrials","Rental & Leasing Services","USA",52.54,,6.78,,0.55,,7.73,,,,-0.21,92.40%,384.60%,41.70%,,77.70%,-138.20%,7.40%,21.36,14.65,0.10%,,24.90%,-7.53%,0.50%,0.18,-8.00%,33.30%,23.30%,1.70,1.70,,,33.00%,3.70%,-4.20%,4.18%,29.69%,41.48%,43.10%,-3.49%,-1.58%,1.15,0.27,15.85%,12.66%,15.05%,38.44%,63.67%,-20.24%,82.31%,-20.24%,182.11%,65.36,7.20%,0.40%,2.00,409.89,1.11,2.68,7.63%,455966,11/9/2020 4:30:00 PM,4.00,12/18/2007,2.65,-1.12%
9,"ASTC","Astrotech Corporation","Industrials","Aerospace & Defense","USA",32.04,,,,53.41,,16.87,,,,-1.24,14.10%,,12.90%,,-1.00%,26.10%,13900.00%,18.56,14.53,13.36%,0.00%,5.60%,6.10%,0.53%,0.02,-164.60%,,-219.30%,0.70,0.50,,,10.40%,,,-9.47%,-12.69%,-6.52%,-39.65%,-4.97%,-4.44%,-0.76,0.12,5.29%,6.63%,-0.59%,-2.25%,-21.18%,-69.87%,18.59%,-76.13%,88.78%,49.58,6.32%,1.16%,,3422.16,0.22,1.85,7.56%,736206,,,12/21/1995,1.85,0.00%
10,"PHAS","PhaseBio Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",96.27,,,,87.52,21.73,2.44,,,,-2.75,-46.70%,17.00%,,,,-116.80%,,29.24,26.05,0.80%,3.28%,67.70%,-6.09%,13.35%,15.19,-110.30%,-220.60%,-53.20%,4.40,4.40,1.84,3.05,,,,-14.21%,-13.76%,-6.32%,-29.13%,-43.21%,-46.64%,,0.26,5.54%,7.53%,-11.59%,-2.95%,-11.72%,-24.73%,34.62%,-58.78%,34.62%,43.04,5.74%,1.53%,1.50,228.89,2.26,3.50,7.36%,517425,11/12/2020 4:30:00 PM,,10/18/2018,,
