"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"AIKI",-2.32%,15.02%,4.92%,-22.94%,-48.68%,-53.66%,12.30%,11.59%,,1714.86,0.62,0.59,-2.25%,1059533
2,"AQMS",45.69%,86.74%,87.15%,40.83%,243.64%,123.75%,14.01%,12.56%,1.00,1046.85,40.83,2.50,47.93%,42743011
3,"ATNF",10.66%,25.59%,-75.29%,-73.53%,-73.24%,-74.75%,17.83%,15.31%,,644.49,2.33,2.85,5.56%,1504636
4,"CWBR",5.30%,26.36%,36.27%,-41.60%,-17.26%,-13.13%,9.40%,7.93%,2.00,500.23,0.82,1.33,-4.32%,409925
5,"EDTK",8.21%,6.95%,3.53%,,,-32.00%,11.09%,7.39%,,62.16,2.08,3.01,-6.81%,129599
6,"HGBL",28.09%,91.73%,30.30%,53.57%,234.44%,207.77%,14.80%,9.66%,1.70,191.23,2.06,3.28,8.97%,393077
7,"IMH",-8.30%,79.05%,119.01%,45.60%,-47.00%,-49.62%,15.67%,11.80%,,152.52,1.25,2.72,2.64%,190878
8,"LPTH",17.06%,20.35%,45.96%,12.46%,433.77%,373.10%,8.15%,7.72%,2.00,292.78,10.34,4.80,39.94%,3025991
9,"METX",-11.88%,-38.93%,-74.20%,-84.68%,-80.99%,-81.21%,16.57%,11.68%,,185.48,1.48,1.88,-2.59%,274578
10,"NXTD",239.07%,277.78%,287.46%,147.27%,169.31%,202.16%,57.63%,23.59%,3.00,18251.28,1.76,1.40,2.94%,32198482
11,"SNCA",0.78%,27.66%,34.43%,-6.54%,-8.83%,-20.70%,18.66%,10.92%,,1493.74,0.85,0.78,-0.68%,1274499
12,"TKAT",32.83%,70.25%,110.27%,31.81%,248.00%,248.70%,29.36%,22.10%,,415.48,0.63,2.19,25.86%,261563
13,"ZCMD",5.29%,1.70%,1.13%,-21.83%,,-55.25%,12.79%,6.76%,,320.10,0.68,1.76,-1.68%,216337
