"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
11,"NM","Navios Maritime Holdings Inc.","Industrials","Marine Shipping","Monaco",36.07,,,,0.08,,0.35,0.75,,,-19.09,48.30%,,-13.30%,16.00%,-3.10%,,-10.90%,15.96,15.38,23.20%,0.00%,8.40%,-1.76%,0.10%,0.17,-10.10%,,0.80%,0.80,0.70,,,38.70%,,-47.10%,-5.83%,10.24%,29.89%,8.13%,-54.53%,-49.55%,2.57,0.19,5.83%,8.68%,0.00%,23.68%,23.18%,-19.42%,71.72%,-50.69%,91.21%,56.39,5.96%,3.98%,1.00,85.63,1.39,2.49,10.18%,119195,11/23/2020 8:30:00 AM,,1/6/2005,,
12,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",36.87,,,,1.57,1.04,2.16,,,,-0.62,-37.70%,,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43,31.74,18.70%,0.00%,0.04%,-58.42%,0.00%,0.02,-16.40%,-38.80%,-45.10%,0.50,0.50,0.00,0.01,34.50%,,-68.30%,-1.67%,2.61%,9.75%,-5.60%,-21.06%,-13.29%,1.67,0.05,3.62%,4.56%,7.25%,9.56%,19.54%,-8.57%,20.75%,-31.55%,109.15%,62.42,5.79%,2.54%,,80.05,0.98,1.28,8.47%,78496,11/12/2020 4:30:00 PM,,1/29/2008,1.26,-1.56%
13,"ETTX","Entasis Therapeutics Holdings Inc.","Healthcare","Biotechnology","USA",93.47,,,,,1.21,,,,,-3.36,-3.50%,49.00%,,,,-40.00%,,29.96,13.57,52.60%,31.33%,31.00%,25.87%,0.60%,0.11,-101.50%,-118.70%,-112.80%,10.00,10.00,0.00,0.00,,,,22.44%,38.67%,0.80%,-14.63%,-49.29%,-49.50%,,0.16,11.91%,7.39%,37.30%,45.04%,6.95%,0.74%,72.15%,-51.77%,72.15%,80.83,7.09%,1.20%,1.90,761.82,0.93,2.72,8.37%,707365,,,9/26/2018,2.73,0.37%
14,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",53.61,,,,2.85,4.32,8.51,,,,-0.10,47.60%,,26.00%,20.00%,17.30%,125.10%,-63.60%,23.25,20.00,8.00%,-4.05%,24.10%,-8.50%,0.19%,0.11,-10.70%,-15.50%,-17.70%,3.80,1.90,0.06,0.13,33.70%,-12.30%,-12.20%,10.10%,48.70%,59.03%,19.27%,20.53%,14.50%,1.23,0.13,3.81%,7.26%,24.53%,52.92%,45.65%,3.77%,115.65%,-10.79%,125.45%,80.09,8.30%,0.00%,,339.43,0.95,2.48,8.30%,323706,9/24/2020 4:30:00 PM,,8/15/1997,,
15,"AMPY","Amplify Energy Corp.","Energy","Oil & Gas E&P","USA",51.21,,,,0.23,12.27,3.79,0.81,37.04%,,-12.05,-162.90%,-175.80%,-16.20%,15.00%,-19.10%,-415.00%,-27.80%,37.63,30.21,19.79%,-57.37%,56.50%,-16.40%,7.71%,2.18,-80.30%,-348.00%,-1.80%,1.20,1.20,66.38,67.63,43.30%,,,8.87%,50.82%,79.98%,3.05%,-80.18%,-79.58%,4.42,0.15,11.97%,12.34%,14.42%,49.89%,35.84%,-11.52%,135.45%,-80.74%,196.45%,61.65,8.15%,0.00%,2.50,1068.19,1.86,1.46,8.15%,1987450,11/5/2020 8:30:00 AM,2.20,10/24/2016,1.46,0.00%
16,"CCNC","Code Chain New Continent Limited","Industrials","Waste Management","China",45.80,,,,5.15,1.79,9.74,,,,-0.03,-12.60%,,,,,-292.90%,-62.70%,28.79,17.86,13.60%,0.00%,,123.79%,0.29%,0.07,,,-7.00%,2.90,2.60,0.00,0.02,-3.60%,,,-20.42%,-8.98%,68.87%,-22.84%,68.01%,26.67%,0.92,0.17,9.91%,9.81%,-0.55%,-0.52%,2.31%,-60.00%,118.58%,-60.00%,134.25%,49.84,3.14%,4.61%,,739.98,0.17,1.64,7.89%,128914,,,12/29/2015,1.64,0.00%
17,"GASS","StealthGas Inc.","Energy","Oil & Gas Midstream","Greece",91.01,6.51,2.40,1.28,0.64,0.15,3.30,6.64,,0.00%,0.34,117.10%,68.41%,-30.40%,5.10%,1.80%,464.20%,1.40%,37.86,30.03,20.69%,0.00%,58.60%,0.51%,0.15%,0.48,1.40%,2.40%,2.40%,0.40,0.30,0.49,0.61,55.20%,17.60%,9.30%,-8.20%,-8.94%,-17.95%,-10.40%,-37.60%,-34.69%,1.70,0.14,8.46%,5.54%,3.95%,1.62%,-1.76%,-18.03%,18.14%,-34.69%,59.60%,53.65,7.11%,0.45%,1.00,94.45,1.60,2.41,7.59%,151140,11/25/2020 8:30:00 AM,,10/6/2005,2.41,0.00%
18,"TGA","TransGlobe Energy Corporation","Energy","Oil & Gas E&P","Canada",67.32,,,,0.61,0.46,2.48,1.65,,,-1.14,-125.50%,167.60%,-19.10%,-13.14%,-13.10%,-300.80%,-46.00%,72.54,66.31,6.30%,0.00%,38.00%,-3.75%,0.22%,0.18,-33.90%,-50.80%,1.10%,1.30,1.00,0.05,0.20,45.40%,-63.30%,-75.00%,-7.37%,88.64%,114.63%,52.57%,-40.54%,-36.23%,2.88,0.08,8.13%,14.59%,22.72%,66.99%,78.78%,-9.97%,156.81%,-39.60%,214.26%,67.34,7.42%,0.00%,2.50,790.60,0.25,0.95,7.42%,201113,,,3/12/1984,,
19,"RNWK","RealNetworks, Inc.","Communication Services","Electronic Gaming & Multimedia","USA",53.17,,,,0.57,1.46,,,,,-0.45,20.80%,,23.40%,,2.00%,38.20%,-6.20%,38.27,20.79,1.10%,0.00%,27.40%,-2.07%,1.98%,1.03,-11.30%,-44.60%,-67.00%,1.10,1.10,0.06,0.17,60.40%,-16.60%,-18.80%,-9.74%,-4.79%,16.81%,10.32%,6.92%,15.83%,1.59,0.08,4.85%,5.91%,-1.94%,0.69%,18.79%,-25.50%,22.13%,-33.48%,365.63%,51.35,7.97%,-0.72%,,401.20,0.46,1.49,7.19%,182644,11/3/2020 4:30:00 PM,,11/21/1997,,
20,"AFI","Armstrong Flooring, Inc.","Industrials","Building Products & Equipment","USA",76.07,,,,0.13,0.32,3.43,,,,-2.70,-290.50%,,-59.60%,47.60%,-12.50%,60.70%,-5.40%,21.96,20.97,1.30%,0.00%,78.60%,-9.77%,3.78%,2.16,-11.10%,-22.10%,-20.20%,1.90,0.80,0.25,0.29,15.60%,-8.60%,-9.70%,5.90%,9.79%,-4.27%,35.98%,-14.32%,-15.93%,2.82,0.22,6.12%,6.73%,9.04%,9.05%,24.38%,-31.43%,46.56%,-31.43%,242.86%,61.63,6.37%,0.56%,3.00,366.84,0.67,3.84,6.96%,246335,10/21/2020 8:30:00 AM,3.00,3/17/2016,,
