No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
81,FTEK,"Fuel Tech, Inc.",Industrials,Pollution & Treatment Controls,USA,137.99M,-,-,-,6.51,4.59,14.68,-,-,-,-0.29,50.00%,-,16.10%,12.10%,-17.40%,276.50%,26.20%,24.70M,17.66M,25.80%,-2.97%,24.90%,1.00%,15.79%,0.42,-23.30%,-29.90%,-31.50%,3.50,3.40,0.03,0.06,38.00%,-34.60%,-33.30%,6.27%,247.24%,578.46%,484.11%,420.48%,364.21%,6.13,0.66,14.04%,19.55%,16.07%,117.80%,337.90%,-30.40%,610.14%,-30.40%,1533.33%,64.03,0.00%,11.11%,3.00,6.66M,0.75,4.90,11.11%,"4,936,658",Nov 10/a,-,9/7/1993,-,-
82,GASS,StealthGas Inc.,Energy,Oil & Gas Midstream,Greece,91.01M,6.51,2.40,1.28,0.64,0.15,3.30,6.64,-,0.00%,0.34,117.10%,68.41%,-30.40%,5.10%,1.80%,464.20%,1.40%,37.86M,30.03M,20.69%,0.00%,58.60%,0.51%,0.15%,0.48,1.40%,2.40%,2.40%,0.40,0.30,0.49,0.61,55.20%,17.60%,9.30%,-8.20%,-8.94%,-17.95%,-10.40%,-37.60%,-34.69%,1.70,0.14,8.46%,5.54%,3.52%,1.20%,-2.17%,-18.37%,17.65%,-34.96%,58.94%,53.22,6.67%,0.45%,1.00,94.45K,1.59,2.40,7.14%,"148,758",Nov 25/b,-,10/6/2005,-,-
83,GEN,"Genesis Healthcare, Inc.",Healthcare,Medical Care Facilities,USA,86.16M,-,-,-,0.02,-,0.36,0.43,-,-,-0.66,103.80%,-153.00%,15.10%,10.00%,-0.90%,-299.90%,-16.50%,113.15M,63.80M,0.30%,0.00%,22.80%,-7.86%,1.15%,0.61,-1.40%,8.20%,20.10%,0.90,0.90,-,-,-,0.60%,-1.50%,-6.12%,9.89%,-13.27%,-25.38%,-67.15%,-67.35%,1.66,0.04,8.43%,7.98%,10.71%,17.72%,-16.26%,-10.71%,45.79%,-68.56%,45.79%,63.72,4.36%,4.63%,3.00,1.19M,6.47,0.58,9.19%,"7,653,000",Nov 09/a,-,5/15/2007,-,-
84,GENE,Genetic Technologies Limited,Healthcare,Diagnostics & Research,Australia,44.07M,-,-,-,-,2.87,4.08,-,-,-,-0.68,-157.90%,-,29.10%,-,-,-228.60%,31.80%,13.77M,11.92M,86.50%,0.00%,1.40%,-12.66%,5.00%,0.64,-89.20%,-118.00%,-,10.90,10.80,0.02,0.04,-,-,-,-1.43%,10.61%,5.85%,57.08%,77.32%,72.86%,2.65,0.28,5.00%,8.68%,3.34%,7.76%,20.42%,-33.03%,26.69%,-65.93%,149.19%,53.31,2.91%,-0.87%,-,924.87K,0.56,3.51,2.02%,"513,340",-,-,7/27/2005,-,-
85,GLMD,Galmed Pharmaceuticals Ltd.,Healthcare,Biotechnology,Israel,76.36M,-,-,-,-,1.46,1.31,-,-,-,-1.27,-78.30%,-16.30%,-1.90%,20.00%,-,-51.90%,-,21.27M,17.62M,17.32%,0.00%,32.60%,-10.46%,0.21%,0.36,-39.30%,-43.30%,-,9.80,9.80,0.00,0.00,-,-,-,-6.12%,-3.41%,-3.16%,-28.13%,-36.00%,-36.33%,2.34,0.31,11.57%,8.74%,3.73%,10.13%,-9.13%,-11.57%,29.05%,-46.87%,29.05%,55.42,3.80%,0.00%,1.80,101.65K,1.20,3.82,3.80%,"120,803",Nov 12/b,-,3/13/2014,-,-
86,GNLN,"Greenlane Holdings, Inc.",Healthcare,Pharmaceutical Retailers,USA,56.84M,-,-,-,0.41,3.06,1.42,-,-,-,-0.45,-388.60%,84.10%,-,-,-,-414.50%,-20.30%,12.80M,12.55M,0.70%,-81.97%,36.20%,3.78%,5.82%,2.15,-10.30%,-67.80%,-113.80%,2.70,1.70,0.50,0.52,16.60%,-34.50%,-10.00%,8.09%,59.78%,121.61%,24.93%,63.94%,35.48%,-,0.41,11.37%,11.58%,3.67%,25.94%,45.26%,-14.26%,77.18%,-14.26%,319.29%,56.84,-4.47%,1.36%,1.60,340.35K,0.83,4.27,-3.17%,"278,696",Nov 12/b,5.40,4/18/2019,-,-
87,GRNQ,Greenpro Capital Corp.,Industrials,Conglomerates,Hong Kong,82.19M,-,-,-,26.51,12.90,205.46,-,-,-,-0.03,84.50%,-,-49.80%,-,-,-123.60%,-41.70%,59.18M,16.56M,72.03%,-0.09%,2.00%,-,0.44%,0.03,-18.50%,-39.70%,-30.20%,0.30,0.30,0.23,0.32,76.70%,-57.40%,-59.80%,0.78%,-21.34%,32.06%,-32.11%,111.48%,126.32%,-,0.15,19.33%,10.30%,-10.68%,-15.33%,17.96%,-31.32%,6.70%,-58.62%,514.81%,40.27,-6.44%,6.98%,3.00,2.88M,0.57,1.29,0.09%,"1,638,891",-,-,7/9/2015,-,-
88,GROW,"U.S. Global Investors, Inc.",Financial,Asset Management,USA,74.49M,75.63,-,-,10.80,3.93,8.37,744.88,0.62%,63.00%,0.06,-35.90%,-,-3.20%,-,-10.70%,156.10%,300.00%,15.08M,12.41M,2.70%,0.00%,39.60%,25.88%,0.07%,0.09,4.40%,4.90%,-13.70%,5.40,5.40,0.00,0.02,-,-13.70%,12.00%,11.01%,49.38%,95.16%,129.38%,281.10%,236.11%,2.87,0.27,5.53%,7.11%,11.74%,38.94%,84.42%,-5.78%,100.69%,-5.78%,491.25%,68.43,-4.25%,2.07%,-,100.84K,0.64,4.73,-2.27%,"63,422",Sep 11/b,-,4/24/1985,-,-
89,GSUM,Gridsum Holding Inc.,Technology,Software - Application,China,56.90M,-,-,-,1.14,-,35.56,-,-,-,-1.93,5.90%,-,-43.40%,-,21.30%,-3.10%,120.40%,34.62M,21.24M,15.38%,0.00%,24.50%,-1.14%,0.56%,0.30,-57.00%,136.00%,-762.80%,0.30,0.30,-,-,74.30%,-,-,-3.01%,-7.20%,46.36%,119.32%,5.23%,31.97%,1.49,0.04,1.86%,2.19%,-3.12%,-5.86%,52.89%,-10.19%,1.87%,-13.30%,587.76%,37.88,1.24%,0.00%,-,390.63K,0.20,1.63,1.24%,"78,880",-,-,9/23/2016,-,-
90,GVP,"GSE Systems, Inc.",Technology,Software - Application,USA,29.50M,-,23.33,-,0.47,2.50,3.83,4.92,-,-,-0.77,-34.30%,112.80%,-8.00%,-,17.20%,47.40%,-35.50%,20.56M,16.26M,5.50%,19.00%,52.90%,-1.92%,0.24%,0.20,-30.80%,-109.30%,-34.10%,1.10,1.10,0.84,1.19,25.70%,-16.50%,-25.20%,2.19%,34.62%,40.00%,35.92%,-6.35%,-15.15%,1.65,0.10,4.99%,9.70%,14.54%,27.72%,36.16%,-17.06%,44.97%,-27.32%,63.95%,66.52,2.17%,-1.43%,2.00,192.35K,0.73,1.41,0.71%,"139,464",Nov 16/a,1.50,7/27/1995,-,-
91,HALL,"Hallmark Financial Services, Inc.",Financial,Insurance - Property & Casualty,USA,60.39M,-,14.76,-,0.12,0.34,0.32,-,-,-,-6.60,-106.10%,200.00%,-15.40%,4.10%,7.60%,-634.10%,4.10%,18.14M,16.86M,7.06%,0.00%,52.80%,-18.58%,0.94%,0.86,-8.20%,-57.60%,1.30%,-,-,0.60,0.60,-,-28.60%,-24.60%,-2.06%,1.22%,25.76%,7.79%,-80.81%,-81.10%,1.47,0.18,3.77%,4.81%,-0.57%,6.11%,1.75%,-13.70%,27.97%,-82.37%,46.49%,52.55,-0.30%,0.90%,2.50,185.55K,0.34,3.34,0.60%,"62,679",-,5.50,9/18/1989,-,-
92,HBP,"Huttig Building Products, Inc.",Industrials,Industrial Distribution,USA,98.41M,-,-,-,0.12,2.18,123.02,1.96,-,-,-0.42,-250.80%,-,-40.10%,14.00%,5.40%,272.50%,-1.40%,26.00M,19.12M,20.75%,0.00%,41.40%,-8.11%,2.03%,0.88,-3.60%,-27.20%,-8.20%,2.00,0.90,2.34,2.38,20.00%,-0.80%,-1.30%,0.99%,-3.24%,68.87%,193.44%,115.66%,132.47%,2.56,0.13,3.18%,3.53%,-1.79%,1.93%,79.55%,-6.49%,53.19%,-6.49%,630.22%,51.54,0.28%,0.28%,-,443.12K,0.05,3.60,0.56%,"20,846",Oct 29/a,-,12/8/1999,-,-
93,HDSN,"Hudson Technologies, Inc.",Basic Materials,Specialty Chemicals,USA,44.88M,-,220.00,-,0.30,1.04,4.88,1.93,-,-,-0.26,53.50%,100.00%,36.28%,30.00%,23.80%,-98.60%,-9.00%,42.66M,32.17M,11.10%,-2.27%,38.10%,1.04%,3.14%,1.63,-6.20%,-25.30%,-11.40%,1.80,0.70,1.76,1.91,23.00%,2.00%,-7.40%,-10.57%,-5.17%,-2.65%,6.80%,29.41%,12.53%,1.28,0.13,9.30%,11.96%,-19.85%,-11.20%,3.90%,-38.98%,6.93%,-38.98%,107.69%,39.91,-5.26%,3.64%,3.00,619.09K,1.48,1.08,-1.82%,"907,486",Nov 05/a,1.32,11/1/1994,-,-
94,HNRG,Hallador Energy Company,Energy,Thermal Coal,USA,30.48M,-,4.39,-,0.12,0.16,5.75,1.09,-,-,-1.99,-888.00%,1250.00%,-50.40%,-,5.90%,151.80%,-21.70%,30.47M,22.86M,12.58%,0.00%,32.70%,-8.93%,1.00%,0.94,-1.20%,-2.70%,-12.00%,1.10,0.40,0.60,0.79,25.60%,1.50%,-2.00%,-8.18%,22.42%,64.23%,46.38%,-64.18%,-65.99%,0.69,0.07,4.79%,8.66%,-2.90%,11.95%,26.68%,-14.29%,45.71%,-66.94%,70.00%,51.67,2.00%,-0.99%,-,243.31K,0.51,1.02,0.99%,"122,620",Nov 02/a,-,1/20/1997,-,-
95,HOFV,Hall of Fame Resort & Entertainment Company,Communication Services,Entertainment,USA,75.26M,-,-,-,14.20,0.29,9.53,-,-,-,-2.11,-103.70%,-,-,-,-,-748.20%,-22.90%,32.58M,14.90M,38.70%,1.51%,1.50%,78.76%,0.86%,0.04,-44.50%,-64.30%,-,-,-,0.00,0.72,-,-,-,-2.92%,-1.48%,-48.05%,-83.63%,-81.72%,-82.15%,-,0.15,4.42%,6.43%,-4.85%,-25.59%,-74.18%,-79.61%,20.64%,-89.32%,20.64%,40.16,1.15%,-2.26%,-,3.50M,0.29,1.32,-1.13%,"998,059",-,-,3/12/2018,-,-
96,HSDT,"Helius Medical Technologies, Inc.",Healthcare,Medical Devices,USA,21.16M,-,-,-,35.27,2.36,3.99,-,-,-,-0.51,70.50%,-,15.50%,-,-,-,-80.00%,40.62M,35.81M,0.40%,0.00%,8.80%,6.90%,2.48%,5.59,-157.10%,-241.60%,-413.70%,3.30,3.00,0.00,0.00,20.50%,-,-,-6.94%,-0.53%,-6.64%,-10.41%,-38.99%,-61.03%,0.74,0.03,8.72%,7.58%,-3.88%,-4.53%,-10.74%,-20.39%,8.36%,-73.82%,56.67%,46.30,2.36%,0.82%,-,158.99K,7.00,0.39,3.20%,"1,102,737",Nov 12/a,-,6/27/2014,-,-
97,HUGE,FSD Pharma Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,32.19M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.16M,16.09M,12.70%,0.00%,0.73%,-,0.38%,0.07,-,-,-,-,-,-,-,-,-,-,-5.08%,22.63%,-36.60%,-57.79%,-66.93%,-69.05%,-,0.17,10.46%,11.43%,-2.99%,-0.23%,-41.59%,-37.86%,33.51%,-87.79%,33.51%,48.53,0.52%,1.19%,-,827.46K,0.31,1.71,1.72%,"252,919",-,-,6/8/2018,-,-
98,ICON,"Iconix Brand Group, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,15.48M,-,-,-,0.13,-,0.22,0.46,-,-,-9.93,36.20%,-,-20.90%,15.00%,-17.60%,147.80%,-31.00%,13.17M,12.75M,4.24%,0.00%,15.60%,34.64%,0.85%,0.08,-18.90%,29.90%,-10.70%,1.30,1.30,-,-,-,4.70%,-74.80%,-0.87%,44.30%,72.21%,14.00%,0.88%,-15.56%,2.33,0.10,6.17%,11.59%,6.67%,31.61%,30.29%,-17.58%,85.27%,-41.62%,121.00%,59.17,0.08%,-1.75%,2.00,1.36M,0.20,1.12,-1.68%,"269,504",-,-,1/22/1990,-,-
99,IFMK,iFresh Inc.,Consumer Defensive,Grocery Stores,USA,21.80M,-,-,-,0.24,2.85,2.79,-,-,-,-0.18,42.80%,-,-64.50%,-,-6.90%,-140.70%,10.50%,27.52M,10.33M,15.00%,0.00%,0.80%,-32.02%,5.45%,2.00,-3.20%,-211.50%,-62.50%,0.60,0.40,0.26,2.87,20.30%,-6.90%,-4.10%,3.60%,-7.16%,6.77%,-29.42%,109.89%,96.60%,-3.11,0.07,8.28%,8.07%,-4.06%,-2.89%,-22.33%,-22.77%,11.43%,-72.44%,126.09%,46.32,-0.74%,-1.48%,-,281.95K,0.67,0.78,-2.21%,"185,685",Nov 24/b,-,2/13/2017,-,-
100,IGC,"India Globalization Capital, Inc.",Industrials,Conglomerates,USA,71.68M,-,-,-,55.14,3.12,14.06,-,-,-,-0.21,-60.00%,-,9.90%,-,-11.90%,-34.80%,-94.40%,41.24M,37.28M,8.30%,-3.74%,5.00%,9.82%,4.53%,0.49,-28.90%,-31.70%,-28.70%,7.20,3.70,0.02,0.03,9.00%,-,-,1.42%,39.06%,58.93%,220.55%,186.45%,182.54%,5.20,0.19,7.72%,14.49%,1.14%,23.28%,93.38%,-31.02%,66.82%,-59.22%,597.72%,55.82,1.94%,1.12%,-,3.43M,1.26,1.84,3.09%,"4,268,903",-,-,4/13/2006,-,-
101,IMBI,"iMedia Brands, Inc.",Consumer Cyclical,Internet Retail,USA,60.65M,-,-,-,0.13,1.72,3.19,303.27,-,-,-3.41,-125.00%,9.40%,-44.99%,30.00%,-5.70%,56.20%,-5.40%,12.18M,10.10M,2.40%,256.20%,17.70%,109.00%,0.34%,0.54,-13.40%,-146.20%,-59.80%,1.20,0.70,1.72,1.82,35.30%,-5.30%,-6.40%,-17.54%,-42.07%,-30.20%,23.94%,5.41%,2.51%,2.75,0.43,8.45%,7.31%,-18.41%,-23.86%,-0.17%,-44.92%,8.91%,-51.69%,217.04%,33.88,4.39%,0.24%,2.00,63.84K,0.60,4.28,4.65%,"37,764",Nov 24/b,-,6/28/1991,-,-
102,IMH,"Impac Mortgage Holdings, Inc.",Financial,Mortgage Finance,USA,61.77M,-,4.18,-,26.86,3.36,1.12,0.07,-,-,-4.08,94.60%,125.70%,11.10%,4.00%,15.50%,11.20%,-24.40%,21.26M,11.48M,16.10%,23.96%,21.20%,-1.69%,0.84%,0.62,-3.10%,-201.70%,-0.70%,-,-,3.94,139.58,-,-,-,6.67%,82.55%,126.67%,56.32%,-47.69%,-48.29%,0.79,0.26,13.39%,12.08%,16.51%,53.76%,59.03%,-8.26%,124.62%,-62.84%,165.21%,64.15,7.25%,0.00%,-,155.11K,1.53,2.92,7.25%,"234,747",Nov 05/a,-,11/21/1995,-,-
103,IO,ION Geophysical Corporation,Energy,Oil & Gas Equipment & Services,USA,35.98M,-,-,-,0.26,-,0.70,1.38,-,-,-2.71,34.40%,17.50%,21.90%,18.00%,-19.30%,-343.00%,-69.50%,14.28M,10.74M,2.50%,0.00%,35.80%,-7.04%,10.18%,2.46,-16.30%,83.90%,-38.40%,0.70,0.60,-,-,36.00%,-14.60%,-27.90%,-11.33%,35.12%,56.55%,-5.81%,-74.67%,-73.85%,4.13,0.19,7.87%,9.40%,10.31%,35.26%,23.65%,-7.40%,83.83%,-72.62%,121.25%,60.24,10.14%,0.00%,2.70,444.00K,1.18,2.50,10.14%,"516,839",Nov 04/a,4.00,4/2/1991,-,-
