No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
104,IRIX,IRIDEX Corporation,Healthcare,Medical Devices,USA,23.67M,-,-,-,0.66,1.35,1.99,-,-,-,-0.56,38.80%,46.40%,-21.60%,30.00%,0.30%,4.60%,-17.80%,13.89M,11.23M,2.40%,0.00%,47.70%,-3.06%,1.62%,2.52,-25.00%,-38.60%,-39.70%,2.80,2.00,0.06,0.14,41.40%,-22.10%,-21.50%,-0.59%,-1.18%,-7.18%,-23.64%,-30.00%,-24.66%,1.09,0.10,5.37%,5.48%,11.83%,9.34%,3.58%,-3.88%,23.75%,-53.30%,62.30%,63.32,6.45%,10.71%,-,72.54K,5.07,1.98,17.86%,"364,248",Nov 09/a,-,2/16/1996,-,-
105,ISR,"Isoray, Inc.",Healthcare,Medical Instruments & Supplies,USA,42.76M,-,-,-,4.41,6.41,-,-,-,-,-0.05,33.50%,25.00%,5.30%,-,16.00%,14.50%,4.30%,87.23M,86.06M,0.40%,357.22%,7.90%,-2.93%,0.83%,0.66,-38.80%,-58.90%,-61.00%,3.10,2.70,0.00,0.00,52.70%,-33.90%,-34.40%,7.49%,24.31%,-20.56%,-23.87%,-22.17%,-28.09%,1.86,0.04,13.37%,8.67%,13.46%,13.71%,-17.85%,-17.52%,35.67%,-54.95%,35.67%,59.86,2.70%,3.56%,2.00,1.09M,1.36,0.48,6.36%,"1,465,150",Nov 10/a,-,11/10/2005,-,-
106,ITP,"IT Tech Packaging, Inc.",Basic Materials,Paper & Paper Products,China,16.42M,-,-,-,0.16,0.09,2.00,23.46,-,-,-0.07,120.70%,-,-30.20%,20.00%,-3.00%,-119.00%,1.50%,25.82M,23.10M,19.00%,0.00%,2.20%,12.23%,3.40%,0.35,-0.90%,-1.10%,1.60%,1.80,1.30,0.03,0.10,10.30%,-0.10%,-1.70%,-11.59%,-5.07%,20.65%,7.38%,-36.71%,-38.39%,0.48,0.06,9.52%,9.78%,-14.01%,-12.33%,0.67%,-58.99%,14.00%,-58.99%,45.78%,39.92,-1.57%,0.00%,-,2.27M,0.42,0.57,-1.57%,"945,784",Nov 12/b,-,10/1/2007,-,-
107,JOB,"GEE Group, Inc.",Industrials,Staffing & Employment Services,USA,18.30M,1.08,-,-,0.13,0.41,1.10,91.49,-,0.00%,0.95,-83.70%,-15.80%,-26.60%,-,30.70%,432.00%,-30.20%,15.79M,13.15M,12.70%,-11.94%,17.50%,205.85%,0.05%,0.01,15.30%,132.80%,-6.40%,1.30,1.30,1.53,1.73,34.50%,5.70%,13.90%,-0.97%,1.98%,5.70%,72.88%,161.54%,161.54%,2.36,0.05,3.39%,5.31%,-2.66%,1.69%,30.95%,-30.14%,21.43%,-59.04%,508.23%,48.79,0.00%,0.00%,2.00,480.41K,0.27,1.02,0.00%,"128,757",-,1.75,9/19/1968,-,-
108,JT,Jianpu Technology Inc.,Financial,Credit Services,China,61.50M,-,-,-,0.25,0.04,0.58,-,-,-,-21.21,-119.50%,-,-,-,-,-156.70%,-61.00%,21.13M,13.99M,-,-,26.00%,-2.12%,1.24%,1.28,-17.80%,-26.90%,-36.60%,2.90,2.90,0.00,0.05,91.80%,-28.20%,-22.30%,12.89%,5.21%,-33.09%,-50.54%,-77.14%,-75.76%,-,0.26,9.32%,9.10%,4.48%,-17.46%,-43.86%,-65.54%,20.62%,-78.59%,20.62%,48.99,2.30%,-2.08%,2.00,135.93K,1.28,2.89,0.17%,"172,687",-,1.13,11/16/2017,-,-
109,KERN,Akerna Corp.,Healthcare,Health Information Services,USA,78.04M,-,-,-,5.96,1.45,5.46,-,-,-,-1.38,36.20%,38.60%,-,-,-,-57.70%,15.60%,14.06M,11.46M,1.50%,0.00%,9.30%,21.06%,6.42%,0.44,-34.20%,-57.90%,-35.90%,1.00,1.00,0.15,0.42,50.00%,-,-,5.19%,21.84%,-0.52%,-52.70%,-54.17%,-54.33%,-,0.40,7.83%,13.14%,2.18%,9.61%,-35.22%,-22.89%,76.96%,-66.58%,76.96%,54.01,-1.29%,1.04%,2.00,1.68M,0.50,3.84,-0.26%,"826,081",Sep 24/b,-,2/26/2018,-,-
110,KIQ,Kelso Technologies Inc.,Industrials,Railroads,Canada,25.00M,15.59,-,-,1.66,2.03,-,-,-,-,0.03,-,-,-,-,-,-,-71.70%,47.17M,45.07M,4.27%,0.00%,5.04%,-,0.39%,2.10,-,-,-,-,-,-,-,-,-,-,3.94%,0.53%,0.97%,-26.35%,-28.38%,-26.70%,-,0.03,4.80%,7.40%,5.24%,0.45%,-5.86%,-13.18%,20.94%,-46.15%,20.94%,55.78,-1.91%,3.53%,-,82.69K,1.02,0.54,1.55%,"83,200",Oct 29/b,-,10/20/2003,-,-
111,KTOV,Purple Biotech Ltd.,Healthcare,Biotechnology,Israel,71.77M,-,-,-,71.77,1.18,-,-,-,-,-7.80,-,-,-,-,-,-,0.00%,17.21M,15.45M,1.91%,0.00%,14.52%,-,0.09%,0.04,-,-,-,-,-,-,-,-,-,-,1.21%,1.96%,-2.34%,-49.15%,-43.65%,-46.51%,-,0.14,2.70%,3.58%,0.31%,-1.12%,-15.91%,-17.43%,8.59%,-71.04%,89.55%,50.11,0.00%,0.00%,-,349.37K,0.91,4.17,0.00%,0,-,-,11/20/2015,-,-
112,KTRA,"Kintara Therapeutics, Inc.",Healthcare,Biotechnology,USA,33.49M,-,-,-,-,-,1.48,-,-,-,-1.99,72.30%,58.20%,28.20%,-,-,-522.30%,-,17.11M,16.05M,1.60%,0.00%,1.20%,18.75%,1.35%,0.58,-320.90%,-,-,9.60,9.60,-,-,-,-,-,-0.74%,-6.90%,8.87%,80.00%,157.44%,95.74%,1.63,0.13,7.06%,8.65%,-0.74%,-3.00%,30.87%,-23.79%,16.25%,-29.65%,261.00%,47.71,0.87%,0.74%,2.00,376.73K,0.43,1.37,1.61%,"161,794",-,-,2/22/2013,-,-
113,LAIX,LAIX Inc.,Consumer Defensive,Education & Training Services,China,69.22M,-,-,-,0.47,-,1.38,-,-,-,-1.74,-8.20%,1.40%,-,-,-,67.00%,-8.70%,49.47M,29.44M,-,-,36.70%,-0.02%,0.05%,0.12,-75.40%,107.80%,180.70%,0.40,0.40,-,-,69.40%,-60.00%,-58.40%,-4.76%,-20.00%,-27.84%,-45.95%,-81.77%,-71.19%,-,0.09,3.42%,7.02%,-4.16%,-16.03%,-43.89%,-43.31%,5.88%,-79.19%,5.88%,41.81,2.13%,0.71%,4.00,122.93K,0.46,1.44,2.86%,"56,530",-,1.50,9/27/2018,-,-
114,LEE,"Lee Enterprises, Incorporated",Communication Services,Publishing,USA,68.82M,-,-,-,0.11,-,2.04,1.65,-,-,-0.06,-121.90%,-,-16.30%,3.00%,-1.00%,-325.10%,55.10%,56.16M,50.38M,5.80%,0.00%,43.00%,-6.38%,3.74%,8.18,-0.40%,8.90%,9.10%,0.80,0.70,-,-,96.10%,8.10%,-0.50%,-0.84%,20.94%,51.92%,22.15%,-17.48%,-16.90%,1.50,0.07,5.49%,6.82%,6.49%,21.94%,25.66%,-6.30%,55.15%,-61.49%,67.61%,61.91,0.85%,0.00%,-,230.04K,0.72,1.19,0.85%,"164,714",Dec 10/b,-,3/17/1970,-,-
115,LMFA,"LM Funding America, Inc.",Financial,Credit Services,USA,9.77M,-,-,-,6.11,0.53,0.80,-,-,-,-1.15,-102.40%,-,-16.70%,-,-16.90%,-129.90%,-50.00%,15.40M,12.91M,22.73%,0.00%,23.80%,-,1.21%,0.06,-72.90%,-95.90%,-,17.00,17.00,0.03,0.00,-7.70%,-,-,0.11%,1.10%,17.70%,-56.47%,-22.49%,-18.00%,1.65,0.06,7.05%,10.00%,-5.70%,1.16%,-23.31%,-24.15%,21.92%,-86.82%,114.90%,48.27,2.15%,-0.71%,-,2.73M,0.26,0.64,1.43%,"691,409",-,-,12/8/2015,-,-
116,LODE,Comstock Mining Inc.,Real Estate,Real Estate Services,USA,34.80M,1.77,-,-,174.00,0.91,3.05,-,-,0.00%,0.56,75.40%,-129.10%,-,-,-,4379.20%,2.20%,32.08M,27.23M,0.50%,85.11%,8.70%,15.14%,0.11%,0.06,42.20%,66.90%,-20.40%,4.10,4.10,0.00,0.14,-,-,-,-1.96%,0.20%,-7.41%,9.27%,159.67%,126.55%,1.43,0.06,5.62%,5.69%,2.23%,1.87%,28.32%,-18.46%,14.58%,-50.00%,221.21%,53.67,4.95%,1.00%,-,462.07K,0.96,1.06,6.00%,"437,401",Nov 17/b,-,2/28/2002,-,-
117,LPCN,Lipocine Inc.,Healthcare,Biotechnology,USA,95.27M,-,-,-,-,6.50,5.07,-,-,-,-0.44,8.00%,29.70%,20.60%,-,-,83.40%,-,64.83M,63.58M,2.10%,-5.68%,11.00%,63.97%,6.15%,1.94,-88.90%,-195.30%,-96.30%,4.30,4.30,0.22,0.44,-,-,-,4.38%,-3.38%,0.00%,22.22%,314.85%,271.53%,0.77,0.11,4.23%,8.65%,-5.23%,-1.04%,18.87%,-18.79%,22.17%,-41.21%,366.78%,47.39,-0.35%,-1.40%,1.50,2.02M,0.68,1.40,-1.75%,"1,360,740",-,-,6/15/2012,-,-
118,LPTH,"LightPath Technologies, Inc.",Technology,Electronic Components,USA,131.04M,56.47,35.56,-,3.55,3.50,24.27,262.08,-,0.00%,0.09,130.40%,107.69%,21.50%,-,20.70%,106.40%,25.00%,25.98M,20.26M,0.20%,0.00%,24.20%,-5.19%,0.75%,0.46,4.90%,6.80%,3.40%,2.90,1.70,0.13,0.16,41.40%,9.20%,6.30%,49.30%,69.61%,110.53%,61.62%,605.88%,562.07%,1.43,0.33,15.54%,9.78%,29.24%,48.09%,65.84%,-15.96%,86.00%,-15.96%,571.64%,64.32,-11.71%,-1.25%,2.00,331.70K,2.47,4.18,-12.81%,"812,737",Sep 10/a,3.88,2/22/1996,-,-
119,LUB,"Luby's, Inc.",Consumer Cyclical,Restaurants,USA,88.37M,-,-,-,0.41,1.19,5.85,-,-,-,-0.97,-90.10%,-,-21.54%,7.00%,-11.50%,182.80%,-56.20%,30.56M,18.71M,5.20%,0.00%,37.40%,4.00%,6.96%,8.24,-15.10%,-36.40%,-19.00%,1.00,1.00,0.74,0.00,63.40%,-11.20%,-13.80%,6.32%,-2.05%,12.60%,101.41%,30.59%,30.00%,1.07,0.13,3.79%,5.19%,0.93%,2.69%,71.78%,-9.12%,12.89%,-12.42%,528.26%,54.39,1.76%,-0.70%,-,158.13K,0.13,2.89,1.05%,"20,311",-,-,2/22/1982,-,-
120,LXU,"LSB Industries, Inc.",Basic Materials,Chemicals,USA,83.97M,-,-,-,0.25,0.43,1.99,-,-,-,-3.70,8.00%,33.80%,-40.89%,12.00%,-5.90%,24.10%,-2.00%,28.21M,25.55M,0.50%,0.00%,33.30%,-11.24%,2.63%,3.48,-9.60%,-49.30%,-2.50%,1.40,1.20,2.64,2.73,2.40%,-10.90%,-31.00%,-2.88%,28.57%,58.82%,145.45%,-41.68%,-35.71%,2.87,0.21,7.23%,9.28%,3.03%,17.78%,58.87%,-8.55%,52.26%,-43.21%,181.68%,56.26,2.43%,1.85%,-,193.12K,0.29,2.82,4.33%,"54,613",Nov 05/a,-,11/4/1969,-,-
121,MBRX,"Moleculin Biotech, Inc.",Healthcare,Biotechnology,USA,49.49M,-,-,-,-,3.30,3.87,-,-,-,-0.33,29.30%,0.00%,-20.70%,-,-,39.40%,-,61.48M,55.49M,1.70%,0.00%,17.10%,-7.20%,4.21%,1.61,-67.80%,-121.50%,-,4.40,4.40,0.00,0.00,-,-,-,0.23%,-4.30%,-3.29%,-20.52%,-23.01%,-13.34%,2.12,0.06,4.61%,7.24%,-0.73%,3.46%,-7.91%,-34.12%,23.15%,-59.20%,148.82%,51.46,1.73%,-0.38%,1.70,1.45M,0.76,0.80,1.35%,"1,088,050",-,-,6/2/2016,-,-
122,MCHX,"Marchex, Inc.",Communication Services,Advertising Agencies,USA,88.81M,-,-,-,0.84,1.45,1.99,-,-,-,-0.71,-40.90%,-27.30%,31.10%,15.00%,-9.40%,-192.10%,6.90%,47.13M,32.60M,5.30%,227.37%,78.50%,-2.59%,1.32%,5.05,-31.10%,-42.10%,-4.80%,2.40,2.40,0.00,0.08,42.70%,-34.40%,-31.70%,-2.73%,6.47%,18.89%,44.59%,-45.41%,-43.39%,1.89,0.11,4.57%,5.00%,-5.96%,4.90%,20.42%,-15.66%,25.00%,-48.15%,90.91%,47.02,-2.33%,0.47%,2.00,85.17K,0.38,2.10,-1.87%,"32,021",Nov 04/a,-,3/31/2004,-,-
123,MIND,"MIND Technology, Inc.",Technology,Scientific & Technical Instruments,USA,28.08M,-,-,-,1.00,0.86,10.40,-,-,-,-1.36,38.30%,-60.00%,-8.30%,15.00%,-12.50%,-57.10%,-20.70%,12.31M,12.13M,4.90%,15.32%,48.00%,-6.17%,0.15%,0.09,-47.00%,-59.60%,-23.60%,4.30,2.40,0.05,0.05,38.20%,-48.90%,-81.10%,21.47%,4.37%,5.39%,16.22%,-22.38%,-25.09%,1.94,0.27,12.42%,12.63%,-6.30%,-2.65%,15.94%,-34.35%,27.06%,-35.19%,208.57%,46.38,1.41%,-0.93%,3.00,209.81K,0.34,2.16,0.47%,"70,161",Dec 03/a,-,12/19/1994,-,-
124,MLND,"Millendo Therapeutics, Inc.",Healthcare,Biotechnology,USA,41.63M,-,-,-,-,1.09,-,-,-,-,-2.41,81.50%,27.70%,37.00%,-,-,61.30%,-,19.00M,17.80M,6.29%,0.00%,41.80%,-6.23%,3.09%,1.41,-67.10%,-85.30%,-,6.50,6.50,0.00,0.01,-,-,-,13.07%,31.58%,47.06%,17.80%,-68.27%,-66.62%,1.10,0.12,6.72%,6.54%,15.68%,28.51%,4.70%,-0.88%,58.45%,-77.23%,78.57%,75.11,0.00%,0.00%,1.70,389.54K,0.54,2.25,0.00%,"209,250",Nov 09/b,-,11/12/2012,-,-
125,MMLP,Martin Midstream Partners L.P.,Energy,Oil & Gas Midstream,USA,64.91M,26.72,-,7.42,0.09,-,34.16,2.83,1.23%,621.30%,0.06,139.60%,73.30%,21.50%,3.60%,-12.40%,-181.70%,-14.30%,38.66M,31.85M,1.80%,4.79%,47.20%,1.54%,0.24%,0.35,0.40%,-6.20%,10.40%,1.60,0.80,-,-,46.10%,6.50%,0.30%,-5.78%,0.62%,35.83%,-27.56%,-60.82%,-59.55%,3.07,0.12,5.71%,7.87%,-5.92%,-0.47%,-7.34%,-23.72%,18.41%,-66.19%,81.22%,47.32,-3.53%,4.29%,3.50,222.99K,1.21,1.64,0.61%,"266,504",Oct 21/a,2.25,11/1/2002,-,-
126,MOHO,ECMOHO Limited,Consumer Cyclical,Specialty Retail,China,74.27M,-,-,-,0.22,1.01,1.44,-,-,-,-0.42,104.40%,-,-,-,-,-341.80%,-4.50%,34.95M,12.24M,28.35%,0.00%,0.80%,68.72%,2.03%,0.35,-8.20%,-18.40%,3.70%,1.70,1.20,0.00,0.31,17.40%,-4.20%,-4.30%,0.00%,57.14%,52.78%,-23.34%,-74.83%,-62.04%,-,0.24,3.43%,17.42%,-7.65%,23.42%,-24.79%,-43.47%,74.42%,-80.45%,74.42%,54.10,2.27%,0.00%,3.00,701.04K,0.06,2.25,2.27%,"39,619",Nov 30/a,-,11/8/2019,-,-
127,MOTS,"Motus GI Holdings, Inc.",Healthcare,Diagnostics & Research,USA,31.96M,-,-,-,159.80,2.04,1.35,-,-,-,-0.71,37.50%,21.90%,-,-,-,28.50%,1000.00%,30.42M,25.06M,2.50%,2.57%,42.90%,14.58%,1.74%,1.95,-77.40%,-151.70%,-,2.50,2.30,0.00,0.53,11.20%,-,-,-3.38%,24.12%,0.01%,-27.01%,-58.33%,-56.33%,-,0.08,8.52%,9.37%,1.36%,14.30%,-0.32%,-15.83%,48.53%,-64.56%,119.57%,55.09,-0.98%,2.00%,1.50,224.35K,1.30,1.01,1.00%,"289,748",Nov 12/a,-,2/14/2018,-,-
128,MRAM,"Everspin Technologies, Inc.",Technology,Semiconductors,USA,89.49M,-,74.50,-,2.15,4.71,6.44,-,-,-,-0.54,21.90%,120.00%,-0.80%,20.00%,8.50%,2.80%,9.80%,18.94M,17.93M,0.40%,-10.64%,51.50%,-1.96%,1.94%,1.71,-28.90%,-52.10%,-54.80%,2.90,2.30,0.24,0.44,43.30%,-22.70%,-24.00%,-21.16%,-22.66%,-16.14%,-32.58%,-19.75%,-15.02%,1.66,0.33,7.27%,6.01%,-12.44%,-26.38%,-18.07%,-44.27%,6.28%,-49.28%,161.14%,32.88,2.93%,-0.67%,1.50,203.18K,1.39,4.57,2.24%,"279,945",Nov 05/a,-,10/7/2016,-,-
129,MRKR,"Marker Therapeutics, Inc.",Healthcare,Biotechnology,USA,73.37M,-,-,-,104.81,1.96,2.29,-,-,-,-0.51,93.90%,-13.60%,54.40%,-,-,-11.20%,-,46.57M,33.67M,29.89%,0.00%,29.80%,-0.28%,10.93%,13.62,-49.40%,-56.30%,-51.10%,7.00,7.00,0.00,0.00,-,-,-,-7.05%,-5.23%,-6.45%,-28.57%,-55.25%,-49.65%,1.29,0.12,12.29%,7.82%,-6.40%,-2.39%,-18.19%,-27.96%,15.15%,-55.69%,15.15%,46.44,3.40%,1.38%,1.50,270.10K,0.81,1.52,4.83%,"217,944",Nov 09/a,-,1/5/1998,-,-
130,NAOV,"NanoVibronix, Inc.",Healthcare,Medical Devices,USA,17.25M,-,-,-,28.75,2.41,5.39,-,-,-,-0.99,-26.10%,-,39.60%,-,21.20%,46.40%,100.00%,19.31M,13.22M,0.10%,95.97%,7.20%,10.28%,1.15%,0.04,-218.30%,-418.50%,-417.10%,10.70,10.40,0.00,0.00,26.10%,-,-,-15.51%,39.65%,-19.53%,-61.77%,-70.87%,-70.35%,-0.05,0.12,7.43%,16.03%,-7.05%,15.05%,-42.17%,-63.67%,57.43%,-75.71%,58.87%,49.73,2.42%,-1.76%,2.00,4.17M,0.19,0.85,0.62%,"802,331",-,-,5/28/2015,-,-
131,NAVB,"Navidea Biopharmaceuticals, Inc.",Healthcare,Biotechnology,USA,55.20M,-,-,-,69.01,212.00,-,-,-,-,-0.52,59.90%,33.30%,30.80%,-,-36.30%,24.90%,50.00%,25.84M,18.45M,30.70%,0.06%,6.00%,5.33%,1.41%,1.09,-205.30%,794.00%,843.30%,1.20,1.20,0.00,2.00,99.90%,-,-,10.99%,-10.17%,-22.91%,-48.04%,99.06%,68.25%,1.95,0.16,7.46%,6.19%,-1.73%,-9.93%,-16.11%,-33.33%,14.44%,-60.80%,233.33%,45.76,-3.23%,2.36%,2.00,237.85K,0.35,2.10,-0.94%,"82,807",-,-,11/10/1992,-,-
132,NBRV,Nabriva Therapeutics plc,Healthcare,Biotechnology,Ireland,55.25M,-,-,-,19.05,1.04,1.34,-,-,-,-7.59,50.60%,37.90%,31.10%,-,31.60%,62.20%,-81.20%,21.08M,14.95M,1.10%,-4.54%,20.70%,-2.47%,4.65%,1.82,-116.30%,-210.60%,-105.00%,4.90,4.40,0.21,0.21,84.30%,-,-,9.21%,-37.33%,-53.39%,-62.72%,-80.81%,-80.23%,1.95,0.29,4.69%,7.85%,-18.67%,-37.11%,-54.89%,-55.68%,18.18%,-83.45%,18.18%,32.88,1.49%,3.07%,2.70,381.31K,2.25,2.73,4.60%,"849,630",Nov 05/a,-,9/18/2015,-,-
133,NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,26.94M,-,-,-,2.75,1.80,2.01,-,-,-,-0.41,-25.30%,53.10%,42.40%,-,44.30%,-558.90%,37.50%,40.04M,31.25M,9.60%,-24.37%,6.20%,21.89%,3.83%,0.86,-100.10%,-329.80%,-261.30%,5.30,5.10,0.00,0.01,61.50%,-70.30%,-,-8.93%,-1.24%,-14.87%,-48.77%,2.16%,-1.55%,3.52,0.05,4.52%,6.88%,3.47%,4.44%,-21.36%,-14.56%,31.07%,-65.21%,181.25%,54.55,3.85%,3.16%,1.50,1.39M,1.59,0.68,7.13%,"2,186,727",Nov 12/a,-,10/26/2007,-,-
134,NDRA,ENDRA Life Sciences Inc.,Healthcare,Diagnostics & Research,USA,18.59M,-,-,-,-,5.24,4.89,-,-,-,-1.81,-7.50%,31.50%,-31.30%,-,-,66.70%,-,23.89M,21.82M,4.00%,-10.31%,3.70%,28.00%,2.52%,1.91,-381.80%,-652.00%,-,3.40,3.20,0.09,0.09,-,-,-,-9.95%,-7.38%,-0.81%,-23.57%,-38.26%,-56.32%,1.61,0.08,7.26%,9.11%,-7.55%,-1.58%,-7.96%,-19.15%,15.12%,-66.22%,26.88%,45.30,4.11%,-0.52%,2.00,288.40K,5.94,0.76,3.57%,"1,697,059",Nov 16/a,-,6/30/2017,-,-
135,NEOS,"Neos Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,33.58M,-,-,-,0.59,-,2.64,-,-,-,-0.44,78.80%,67.60%,28.10%,31.70%,143.30%,-139.30%,-28.60%,49.76M,49.01M,1.50%,0.00%,33.40%,-7.31%,4.60%,0.55,-28.50%,156.00%,-26.90%,0.70,0.50,-,-,56.90%,-23.70%,-38.40%,1.14%,13.64%,13.78%,-10.34%,-55.33%,-55.92%,1.51,0.08,6.08%,12.12%,7.08%,8.68%,-3.63%,-43.17%,48.28%,-65.56%,51.51%,54.77,3.33%,-0.84%,2.00,4.07M,0.36,0.68,2.46%,"1,462,811",Nov 09/b,-,7/23/2015,-,-
136,NINE,"Nine Energy Service, Inc.",Energy,Oil & Gas Equipment & Services,USA,92.48M,-,-,-,0.22,1.61,1.15,-,-,-,-19.16,-242.30%,32.90%,-33.70%,-,4.70%,11.80%,-75.50%,29.85M,15.94M,0.10%,0.00%,52.00%,-7.52%,3.57%,1.97,-98.40%,-372.80%,-22.80%,5.40,3.90,6.43,6.46,9.00%,-,-,22.36%,77.91%,137.70%,44.28%,-62.39%,-62.92%,-,0.31,10.79%,15.03%,11.88%,56.30%,76.84%,-8.81%,170.95%,-73.29%,648.68%,65.46,-3.23%,1.38%,3.10,288.70K,0.81,2.85,-1.90%,"232,751",Nov 05/b,1.79,1/19/2018,-,-
137,NM,Navios Maritime Holdings Inc.,Industrials,Marine Shipping,Monaco,36.07M,-,-,-,0.08,-,0.35,0.75,-,-,-19.09,48.30%,-,-13.30%,16.00%,-3.10%,-,-10.90%,15.96M,15.38M,23.20%,0.00%,8.40%,-1.76%,0.10%,0.17,-10.10%,-,0.80%,0.80,0.70,-,-,38.70%,-,-47.10%,-5.83%,10.24%,29.89%,8.13%,-54.53%,-49.55%,2.57,0.19,5.83%,8.68%,0.00%,23.68%,23.18%,-19.42%,71.72%,-50.69%,91.21%,56.39,5.96%,3.98%,1.00,85.63K,1.28,2.49,10.18%,"108,691",Nov 23/b,-,1/6/2005,-,-
138,NNA,Navios Maritime Acquisition Corporation,Energy,Oil & Gas Midstream,Monaco,52.60M,1.16,20.75,-,0.14,0.14,0.88,-,31.35%,45.50%,2.62,43.40%,-93.70%,-44.80%,-1.00%,1.10%,104.70%,33.60%,16.10M,10.80M,71.20%,0.00%,4.10%,-1.11%,0.12%,0.08,2.70%,12.80%,3.00%,1.00,1.00,3.08,3.34,91.00%,38.10%,11.10%,-6.19%,-31.14%,-23.48%,-21.91%,-63.71%,-64.35%,2.17,0.21,4.34%,5.92%,-12.91%,-17.85%,-28.46%,-34.37%,5.67%,-65.47%,51.67%,36.51,4.97%,-0.33%,3.00,171.94K,0.89,3.17,4.62%,"150,779",Dec 01/b,3.75,7/7/2008,-,-
139,NSPR,"InspireMD, Inc.",Healthcare,Medical Devices,Israel,11.84M,-,-,-,3.59,1.03,1.09,-,-,-,-1.26,71.20%,52.40%,-,-,5.70%,94.90%,11.10%,34.88M,32.51M,9.00%,7.35%,2.80%,54.46%,3.22%,0.88,-73.10%,-110.90%,-182.20%,5.20,4.70,0.00,0.00,21.90%,-,-,-3.47%,-8.65%,3.56%,-34.38%,-65.80%,-69.60%,2.40,0.02,6.62%,7.46%,3.93%,3.54%,-25.40%,-18.30%,21.22%,-77.58%,30.37%,55.92,8.04%,3.66%,2.00,1.19M,6.64,0.37,11.99%,"7,836,501",Nov 09/b,-,4/11/2011,-,-
140,NVCN,Neovasc Inc.,Healthcare,Medical Devices,Canada,23.68M,-,-,-,11.79,28.28,-,-,-,-,-2.88,79.70%,50.00%,-,-,-,-,25.20%,28.88M,17.34M,23.58%,0.00%,17.51%,-,1.11%,0.14,-,-,-,-,-,-,-,-,-,-,5.13%,-5.75%,-60.77%,-64.50%,-76.09%,-84.84%,-,0.09,13.58%,8.23%,4.39%,-25.81%,-57.46%,-67.39%,27.54%,-89.97%,27.54%,46.61,7.39%,-1.51%,1.00,1.42M,0.90,0.87,5.77%,"1,259,058",Nov 05/a,-,11/22/2006,-,-
141,NVIV,InVivo Therapeutics Holdings Corp.,Healthcare,Biotechnology,USA,12.94M,-,-,-,-,0.37,1.64,-,-,-,-11.65,74.90%,-,43.70%,-,-,94.60%,-,21.17M,19.62M,12.35%,0.00%,3.80%,-8.72%,0.49%,0.05,-91.10%,-124.40%,-,4.40,4.40,0.00,0.00,-,-,-,-5.06%,0.37%,-54.62%,-62.37%,-87.90%,-91.19%,1.83,0.04,8.51%,7.49%,2.26%,-8.11%,-51.17%,-57.78%,27.30%,-94.72%,27.30%,49.04,5.36%,1.11%,-,1.80M,1.65,0.63,6.53%,"2,946,236",-,-,10/29/2010,-,-
142,NWHM,The New Home Company Inc.,Consumer Cyclical,Residential Construction,USA,90.24M,-,-,-,0.15,0.44,0.71,0.73,-,-,-1.83,42.30%,-,-27.20%,25.00%,34.90%,128.20%,-21.00%,18.23M,12.72M,0.20%,0.00%,61.40%,5.27%,0.79%,1.63,-6.10%,-16.30%,-0.70%,-,-,1.46,1.46,10.50%,-6.20%,-5.90%,-2.04%,-11.62%,3.90%,55.52%,-2.04%,2.79%,2.69,0.24,4.99%,4.89%,-9.70%,-10.53%,23.91%,-19.76%,1.06%,-20.83%,405.16%,31.51,-1.04%,0.21%,3.00,61.62K,0.73,4.75,-0.84%,"44,700",Nov 02/b,-,1/31/2014,-,-
143,OEG,"Orbital Energy Group, Inc.",Utilities,Utilities - Diversified,USA,38.47M,-,-,-,1.17,1.68,9.38,-,-,-,-0.88,36.40%,80.40%,-28.50%,25.00%,-20.90%,-67.10%,123.00%,30.43M,27.18M,2.90%,14.36%,31.10%,-7.65%,1.68%,0.10,-22.70%,-46.90%,-30.00%,0.90,0.90,0.30,0.48,16.60%,-77.80%,-47.20%,8.80%,25.93%,164.08%,107.63%,27.10%,23.64%,1.29,0.19,11.24%,19.12%,15.15%,47.94%,96.70%,-33.78%,129.23%,-33.78%,230.60%,63.22,4.93%,4.41%,-,4.35M,0.89,1.49,9.56%,"3,825,488",Nov 16/b,2.17,9/15/1999,-,-
