"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
42,"CEI",-7.51%,5.75%,73.33%,-42.79%,-52.27%,-56.27%,5.55%,11.32%,,9347.69,0.31,0.81,-2.57%,2870306
43,"CETX",7.94%,15.25%,38.21%,-17.58%,5.43%,4.62%,6.67%,7.99%,2.00,1233.41,1.66,1.46,7.35%,2042964
44,"CFMS",5.06%,7.27%,-21.71%,-14.38%,-55.63%,-54.74%,6.37%,5.92%,2.00,487.91,2.48,0.66,-2.71%,1210512
45,"CHEK",-6.41%,4.77%,-9.09%,-46.09%,-80.93%,-81.50%,5.86%,9.44%,2.00,1497.75,4.05,0.34,6.47%,6060705
46,"CJJD",1.96%,1.96%,10.05%,-45.26%,-37.72%,-42.86%,4.45%,5.23%,,631.72,0.63,1.04,0.00%,399124
47,"CLBS",-0.69%,3.60%,-20.88%,-20.44%,-35.13%,-42.63%,6.10%,7.52%,2.30,189.24,0.69,1.46,1.39%,130858
48,"CLIR",20.23%,32.35%,40.00%,66.67%,306.40%,313.11%,13.31%,9.85%,2.00,200.70,1.76,3.17,0.63%,354178
49,"CLSN",12.79%,43.52%,-3.95%,-83.22%,-53.14%,-56.43%,12.45%,12.92%,2.30,1431.54,2.30,0.71,-4.43%,3293909
50,"CPHI",-5.56%,1.21%,14.45%,-32.36%,72.90%,79.48%,6.82%,11.61%,2.00,564.19,0.43,0.42,-1.18%,241334
51,"CPSS",3.99%,6.11%,26.36%,52.75%,25.98%,23.74%,6.58%,4.07%,2.00,145.55,0.21,4.18,0.24%,29891
52,"CSCW",0.39%,-0.14%,10.96%,-24.62%,-75.56%,-64.48%,5.56%,8.53%,,2728.59,0.41,0.51,-1.83%,1115724
53,"CTHR",-0.77%,15.18%,46.61%,81.46%,-6.52%,-9.15%,3.73%,4.79%,2.00,210.84,0.30,1.31,1.55%,64180
54,"CTXR",6.54%,21.42%,8.57%,29.41%,63.44%,11.76%,4.59%,6.45%,2.00,767.11,0.58,1.11,-2.63%,444839
55,"CVU",10.47%,32.40%,51.39%,7.65%,-43.70%,-43.54%,5.73%,5.65%,3.00,80.93,1.48,3.95,3.92%,119541
56,"CWBR",5.30%,26.36%,36.27%,-41.60%,-17.26%,-13.13%,9.40%,7.93%,2.00,500.23,0.82,1.33,-4.32%,409925
57,"CXDC",0.00%,-11.30%,-7.02%,-8.62%,-40.11%,-40.78%,2.14%,2.63%,,86.94,0.24,1.05,-0.47%,21035
58,"DFFN",-3.23%,1.79%,-16.11%,-31.97%,52.59%,49.14%,6.24%,7.98%,,1007.18,1.32,0.71,3.33%,1331473
59,"DOGZ",12.43%,-16.74%,89.52%,30.42%,32.67%,49.62%,7.46%,10.36%,,797.00,0.09,1.91,-4.02%,72223
60,"DTEA",76.92%,128.37%,212.62%,222.00%,90.53%,120.55%,19.27%,14.63%,,526.75,1.72,2.82,-12.42%,906661
61,"DWSN",-0.47%,18.64%,9.94%,40.94%,-13.58%,-12.50%,5.55%,6.30%,,76.46,1.33,2.13,1.43%,101448
62,"DXYN",-13.33%,11.62%,170.04%,153.64%,111.34%,93.86%,10.48%,11.37%,,216.19,0.62,2.28,3.17%,133566
63,"DYNT",-0.90%,34.13%,12.05%,-9.18%,1.55%,-1.52%,4.87%,7.77%,1.70,209.76,0.69,0.81,-0.94%,145181
64,"ECOR",-9.44%,5.84%,-7.91%,81.29%,32.52%,2.52%,5.83%,6.47%,2.00,537.24,2.34,1.62,-0.61%,1257399
65,"EGY",1.94%,-10.73%,58.00%,23.44%,-21.78%,-28.83%,4.97%,7.20%,1.00,676.23,0.66,1.65,4.43%,444510
66,"ENG",-3.43%,62.50%,108.64%,64.08%,65.74%,72.45%,7.18%,22.38%,,2413.57,0.57,1.84,8.88%,1369246
67,"ENTX",-0.93%,-0.93%,-19.70%,-43.32%,-48.04%,-50.47%,4.30%,9.09%,2.00,354.61,1.23,1.06,0.00%,435552
