"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"OSS","One Stop Systems, Inc.","Technology","Computer Hardware","USA",64.06,73.80,50.55,,1.14,2.15,11.65,,,0.00%,0.05,34.20%,217.39%,,,,51.60%,-12.80%,16.59,11.60,9.50%,-7.66%,29.50%,7.86%,0.59%,0.57,2.10%,3.00%,-3.30%,2.50,1.50,0.08,0.19,32.20%,1.60%,1.50%,19.42%,45.28%,72.43%,84.50%,98.39%,82.67%,,0.21,8.65%,6.77%,30.32%,45.68%,76.53%,12.50%,74.88%,12.50%,525.42%,82.60,12.16%,3.79%,2.00,120.04,5.05,3.69,16.40%,605763,11/12/2020 4:30:00 PM,4.33,2/1/2018,3.70,0.27%
2,"DXLG","Destination XL Group, Inc.","Consumer Cyclical","Apparel Retail","USA",11.69,,,,0.03,11.25,0.55,0.72,,,-1.12,42.50%,,7.40%,15.00%,2.70%,5.10%,-20.10%,51.55,43.28,4.80%,0.00%,45.60%,-11.22%,2.83%,0.37,-15.70%,-270.40%,-4.00%,0.80,0.20,13.55,75.36,34.90%,-15.20%,-16.30%,-2.17%,-41.01%,-4.82%,-66.15%,-82.28%,-82.42%,1.90,0.04,14.63%,12.31%,-26.01%,-25.05%,-38.88%,-47.43%,12.39%,-82.82%,12.39%,35.65,10.29%,0.00%,,3327.74,0.19,0.22,10.29%,637398,11/20/2020 8:30:00 AM,,6/2/1987,,
3,"RLH","Red Lion Hotels Corporation","Consumer Cyclical","Lodging","USA",71.33,,,,1.06,0.54,2.10,,,,-0.94,-5.30%,40.00%,-51.90%,30.00%,-4.70%,15.50%,-59.60%,25.40,23.14,1.20%,0.00%,67.50%,-3.93%,5.07%,12.63,-13.20%,-17.70%,-9.00%,2.90,2.90,0.00,0.04,33.10%,-33.40%,-35.40%,5.86%,20.44%,25.46%,11.07%,-25.96%,-27.35%,1.61,0.15,6.57%,5.98%,10.45%,22.74%,30.79%,-3.90%,59.41%,-28.50%,133.62%,65.73,9.72%,-0.80%,2.00,92.97,2.92,2.71,8.84%,271805,11/4/2020 4:30:00 PM,3.50,4/3/1998,,
4,"REED","Reed's, Inc.","Consumer Defensive","Beverages - Non-Alcoholic","USA",56.53,,,,1.48,64.00,62.81,,,,-0.21,-12.90%,37.50%,-51.20%,20.00%,-4.90%,69.60%,21.80%,62.94,59.19,8.90%,1.22%,19.40%,-3.92%,1.93%,1.77,-64.90%,,,1.00,0.40,0.60,20.40,25.80%,-24.50%,-28.20%,0.27%,8.47%,-31.43%,-28.75%,-27.17%,-29.67%,1.28,0.05,7.64%,7.42%,1.13%,-16.61%,-22.53%,-39.05%,12.08%,-60.98%,77.19%,46.06,6.22%,2.03%,2.00,645.34,1.87,0.64,8.38%,1206733,11/9/2020 4:30:00 PM,,12/29/2006,0.64,-0.45%
5,"SDPI","Superior Drilling Products, Inc.","Energy","Oil & Gas Equipment & Services","USA",14.37,,,,1.08,3.16,10.27,20.54,,,-0.10,-325.00%,23.50%,3.60%,,-1.10%,-306.70%,-70.60%,25.56,10.41,59.38%,0.00%,7.50%,-4.19%,0.58%,0.10,-17.00%,-41.60%,-6.20%,0.60,0.50,0.40,1.43,52.20%,-21.50%,-20.00%,12.60%,24.92%,38.26%,-30.89%,-34.68%,-30.68%,0.31,0.05,12.08%,11.72%,11.27%,20.33%,6.52%,-12.55%,42.42%,-45.87%,183.49%,60.88,5.26%,1.91%,3.00,617.05,2.50,0.57,7.27%,1541033,11/6/2020 8:30:00 AM,,5/23/2014,,
6,"TGA","TransGlobe Energy Corporation","Energy","Oil & Gas E&P","Canada",77.26,,,,0.70,0.53,2.85,1.90,,,-1.14,-125.50%,167.60%,-19.10%,-13.14%,-13.10%,-300.80%,-46.00%,72.54,66.31,6.30%,0.00%,38.00%,-3.75%,0.22%,0.19,-33.90%,-50.80%,1.10%,1.30,1.00,0.05,0.20,45.40%,-63.30%,-75.00%,6.32%,105.49%,152.56%,80.36%,-29.86%,-26.81%,2.88,0.08,9.42%,14.71%,27.37%,75.28%,90.45%,-3.81%,174.38%,-35.46%,235.77%,70.78,6.32%,0.50%,2.50,783.85,0.19,1.01,6.84%,149966,,,3/12/1984,1.01,0.00%
7,"SLGG","Super League Gaming, Inc.","Communication Services","Electronic Gaming & Multimedia","USA",50.85,,,,33.90,2.74,4.94,,,,-1.98,-57.10%,56.20%,,,,30.90%,75.00%,15.48,14.24,3.10%,0.00%,9.80%,5.71%,3.49%,1.02,-134.40%,-154.30%,-155.00%,16.50,16.50,0.08,0.00,55.10%,,,57.53%,83.51%,78.76%,50.00%,29.21%,46.19%,,0.28,18.40%,11.52%,50.56%,72.34%,45.95%,-11.54%,111.66%,-46.92%,165.38%,77.40,7.48%,-1.23%,1.50,485.10,1.67,3.45,6.15%,808153,11/11/2020 4:30:00 PM,,2/26/2019,3.45,0.00%
8,"HSDT","Helius Medical Technologies, Inc.","Healthcare","Medical Devices","USA",23.07,,,,38.45,2.58,4.35,,,,-0.51,70.50%,,15.50%,,,,-80.00%,40.62,35.81,0.40%,0.00%,8.80%,6.90%,2.48%,5.19,-157.10%,-241.60%,-413.70%,3.30,3.00,0.00,0.00,20.50%,,,-0.72%,3.08%,5.75%,7.57%,-60.76%,-57.53%,0.74,0.03,7.77%,7.95%,1.65%,1.08%,-5.56%,-15.92%,14.44%,-72.35%,65.46%,52.82,-1.90%,8.08%,,171.30,9.07,0.41,6.02%,1553053,11/12/2020 4:30:00 PM,,6/27/2014,,
9,"CCNC","Code Chain New Continent Limited","Industrials","Waste Management","China",52.12,,,,5.86,2.04,11.09,,,,-0.03,-12.60%,,,,,-292.90%,-62.70%,28.79,17.86,13.60%,0.00%,,123.79%,0.29%,0.07,,,-7.00%,2.90,2.60,0.00,0.02,-3.60%,,,6.13%,9.49%,86.66%,-9.42%,127.60%,44.17%,0.92,0.17,6.87%,9.99%,4.72%,3.83%,7.81%,-57.80%,127.63%,-57.80%,147.11%,53.59,6.79%,-1.22%,,741.91,0.23,1.73,5.49%,168134,,,12/29/2015,,
10,"SYN","Synthetic Biologics, Inc.","Healthcare","Biotechnology","USA",8.36,,,,,,1.39,,,,-0.71,75.90%,44.60%,38.60%,,,55.70%,,19.99,19.86,0.37%,0.00%,7.10%,-0.94%,1.63%,0.49,-109.60%,207.90%,,2.20,2.20,,,,,,6.83%,1.86%,-17.53%,-28.09%,-28.63%,-25.65%,2.27,0.03,8.79%,6.90%,3.45%,8.65%,-9.21%,-20.82%,33.04%,-49.75%,49.44%,55.96,-0.82%,6.29%,2.50,657.93,1.74,0.38,5.43%,1147326,11/10/2020 4:30:00 PM,,4/5/1993,0.37,-1.83%
11,"CWBR","CohBar, Inc.","Healthcare","Biotechnology","USA",89.30,,,,,3.71,3.82,,,,-0.34,20.00%,-6.50%,-16.70%,,,17.50%,,50.20,43.88,2.70%,0.41%,12.40%,51.11%,4.30%,3.78,-97.40%,-150.60%,,10.30,10.30,0.16,0.19,,,,-8.44%,11.90%,39.60%,-24.19%,-12.96%,-11.88%,2.68,0.10,8.36%,7.82%,8.84%,25.52%,-10.41%,-10.76%,61.14%,-66.82%,65.88%,60.34,5.22%,0.00%,2.00,499.09,0.32,1.41,5.22%,157351,11/16/2020 4:30:00 PM,,1/28/2015,,
12,"EYPT","EyePoint Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",73.25,,,,2.04,8.46,2.55,,,,-3.43,-3.60%,34.30%,-35.80%,,-5.20%,79.70%,528.00%,12.80,10.27,0.60%,29.38%,40.00%,-0.88%,2.04%,1.24,-53.80%,-441.00%,,3.70,3.40,6.68,6.70,87.00%,-93.40%,,10.89%,15.51%,-11.48%,-36.76%,-66.28%,-67.81%,1.56,0.40,7.41%,9.92%,4.19%,11.21%,-26.17%,-15.64%,42.12%,-76.24%,42.12%,57.53,5.27%,-0.21%,2.00,168.17,1.00,4.99,5.05%,167835,11/5/2020 8:30:00 AM,,1/27/2005,4.99,0.00%
13,"AREC","American Resources Corporation","Energy","Thermal Coal","USA",64.26,,6.14,,8.80,,80.32,,,,-1.53,20.60%,264.70%,,,,101.60%,-83.30%,26.79,16.28,31.20%,0.00%,1.10%,-18.62%,3.49%,0.15,-129.90%,123.00%,,0.10,0.00,,,,,,0.58%,-14.85%,15.44%,52.21%,186.67%,173.02%,,0.17,6.42%,9.06%,-3.15%,5.95%,29.95%,-29.22%,36.51%,-65.11%,437.50%,50.80,3.61%,0.61%,2.50,3909.67,0.23,1.72,4.24%,913002,,,11/25/2015,1.74,1.16%
14,"DYNT","Dynatronics Corporation","Healthcare","Medical Devices","USA",13.01,,,,0.26,1.13,5.91,6.50,,,-0.41,-102.10%,85.70%,24.60%,,12.90%,-411.60%,-26.20%,14.08,10.70,18.80%,0.00%,7.90%,5.52%,0.74%,0.38,-12.20%,-43.80%,-16.00%,2.00,1.20,0.52,0.59,28.20%,-7.40%,-9.80%,3.48%,26.86%,29.94%,4.77%,8.37%,4.47%,-0.04,0.05,5.62%,6.87%,9.44%,25.24%,10.52%,-1.71%,65.82%,-76.56%,65.82%,69.23,3.99%,0.00%,1.70,209.72,0.79,0.87,3.99%,166054,9/24/2020 8:30:00 AM,,11/16/1983,,
15,"ALNA","Allena Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",69.56,,,,,2.72,2.31,,,,-1.27,-24.20%,21.50%,,,,60.90%,,36.26,27.27,3.38%,-9.03%,35.60%,-0.57%,4.37%,0.87,-114.20%,-210.80%,,8.00,8.00,0.54,0.54,,,,-0.73%,1.49%,10.57%,-13.92%,-39.01%,-50.18%,,0.09,6.74%,7.09%,3.15%,-0.34%,-6.46%,-16.56%,17.24%,-59.88%,159.05%,52.40,3.82%,0.00%,1.70,1364.31,0.99,1.36,3.82%,1356807,,,11/2/2017,,
