"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
11,"ACST","Acasti Pharma Inc.","Healthcare","Biotechnology","Canada",31.49,,,,,3.53,,,,,-0.07,30.30%,34.00%,,,,,,96.89,93.53,8.64%,0.00%,1.66%,,0.54%,0.03,,,,,,,,,,,-24.42%,-10.96%,62.56%,-38.73%,-86.34%,-86.73%,,0.06,18.10%,14.80%,34.40%,57.72%,-13.63%,-30.11%,130.99%,-84.45%,130.99%,61.57,19.34%,1.85%,2.00,18619.13,5.94,0.40,21.54%,110671292,,,5/6/2011,0.40,0.91%
12,"AEZS","Aeterna Zentaris Inc.","Healthcare","Biotechnology","USA",25.53,,,,19.64,1.58,1.18,,,,-0.18,-240.50%,,58.80%,,117.20%,-3.10%,-66.70%,62.68,62.63,0.60%,0.00%,21.40%,1.74%,3.01%,0.85,-21.50%,-125.80%,628.40%,13.00,12.80,0.01,0.01,6.70%,,,3.13%,7.72%,18.06%,12.45%,-51.73%,-53.24%,2.11,0.04,9.09%,9.34%,29.79%,39.12%,-9.83%,14.42%,77.55%,-66.56%,77.55%,71.18,22.60%,-1.29%,,2219.88,5.41,0.51,21.01%,12003593,,,5/10/2000,0.51,-0.02%
13,"CREX","Creative Realities, Inc.","Technology","Software - Application","USA",15.20,,,,0.82,3.15,16.88,,,,-1.60,102.60%,,15.20%,,18.70%,-328.70%,-23.90%,10.31,8.99,1.70%,0.00%,20.30%,-3.39%,1.44%,0.32,-63.50%,-200.70%,7.10%,0.50,0.30,0.38,2.45,45.30%,-75.30%,-84.50%,5.74%,15.18%,18.35%,-43.42%,-7.86%,-15.69%,4.22,0.15,18.28%,11.36%,30.47%,43.17%,-6.88%,-7.19%,80.02%,-74.08%,198.08%,64.96,16.54%,3.10%,2.00,402.50,18.39,1.55,20.16%,7400275,,,11/27/2006,1.55,0.00%
14,"ADXS","Advaxis, Inc.","Healthcare","Biotechnology","USA",35.77,,,,119.23,0.68,1.50,,,,-0.60,94.40%,,40.40%,,83.60%,90.50%,,109.82,62.61,0.09%,0.00%,17.70%,31.91%,0.39%,0.04,-66.40%,-81.60%,-49.70%,8.40,8.40,0.00,0.00,,,,-14.03%,9.90%,-11.83%,-37.13%,-68.01%,-59.34%,3.18,0.04,12.01%,10.40%,24.05%,15.91%,-19.42%,-22.63%,58.01%,-71.82%,58.01%,60.69,19.14%,0.37%,2.00,5700.35,2.09,0.42,19.59%,11937484,,,7/28/2005,0.42,0.00%
15,"ISR","Isoray, Inc.","Healthcare","Medical Instruments & Supplies","USA",39.30,,,,4.05,6.43,,,,,-0.05,33.50%,25.00%,5.30%,,16.00%,14.50%,4.30%,87.23,86.06,0.40%,,7.90%,-3.19%,0.73%,0.55,-38.80%,-58.90%,-61.00%,3.10,2.70,0.00,0.00,52.70%,-33.90%,-34.40%,-5.42%,19.97%,-20.47%,-19.64%,-27.42%,-27.93%,1.85,0.03,6.17%,9.36%,19.81%,30.87%,-7.07%,1.21%,52.41%,-49.39%,52.41%,68.14,15.55%,3.18%,2.00,1152.07,11.29,0.54,19.22%,13008880,11/10/2020 4:30:00 PM,,11/10/2005,0.54,0.17%
16,"SXTC","China SXT Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","China",21.38,,,,4.11,0.87,2.93,26.73,,,-0.42,-656.00%,,,,,,271.40%,74.06,45.94,13.70%,0.00%,8.30%,-18.85%,0.39%,0.06,-58.60%,-114.70%,-42.60%,1.60,1.50,0.00,0.71,52.40%,,,4.85%,-3.32%,24.51%,-38.16%,-58.91%,-59.91%,,0.03,11.35%,9.07%,22.17%,28.23%,2.84%,-13.93%,56.64%,-73.54%,76.24%,65.54,17.42%,1.46%,,2918.35,3.46,0.39,19.14%,10099512,,,1/4/2019,0.38,-2.96%
17,"SNCA","Seneca Biopharma, Inc.","Healthcare","Biotechnology","USA",14.90,,,,1101.95,1.07,1.17,,,,-1.64,41.50%,,43.80%,,,77.40%,0.00%,17.31,17.16,0.82%,0.00%,10.50%,14.49%,0.56%,0.05,-110.60%,-122.20%,,15.00,15.00,0.00,0.00,,,,7.06%,37.50%,49.20%,20.33%,-20.00%,-11.11%,1.80,0.11,16.44%,13.47%,31.01%,52.96%,42.73%,-22.56%,90.95%,-74.82%,106.00%,70.41,12.83%,3.74%,,1814.17,4.03,1.03,17.05%,7318548,,,12/20/2006,,
18,"OGEN","Oragenics, Inc.","Healthcare","Biotechnology","USA",40.00,,,,,11.23,4.00,,,,-0.50,57.60%,56.50%,18.70%,,,9.40%,,59.67,56.38,5.30%,-52.46%,12.20%,11.47%,2.41%,0.19,-178.80%,-499.10%,,9.60,9.60,0.00,0.20,,,,-17.28%,7.36%,-21.23%,-40.21%,-11.33%,-14.15%,0.62,0.05,8.26%,10.69%,16.29%,11.90%,-18.44%,-20.02%,37.90%,-75.12%,44.42%,58.86,6.10%,9.13%,2.00,6961.33,3.90,0.52,15.79%,27115191,,,10/21/2003,0.52,-0.13%
19,"XTLB","XTL Biopharmaceuticals Ltd.","Healthcare","Biotechnology","Israel",16.51,,,,,2.37,,,,,-0.54,-145.10%,,19.40%,,,85.20%,,5.14,5.14,1.00%,0.00%,8.70%,1.50%,0.94%,2.15,-37.40%,-38.50%,,33.00,33.00,0.00,0.00,,,,8.21%,25.21%,63.78%,90.29%,127.15%,121.17%,0.85,0.20,6.87%,6.42%,29.55%,41.82%,98.94%,2.94%,74.99%,2.94%,460.00%,75.40,15.89%,-0.33%,,22.44,3.99,3.50,15.51%,89627,,,9/1/2005,,
20,"CCNC","Code Chain New Continent Limited","Industrials","Waste Management","China",48.09,,,,5.40,2.28,10.23,,,,-0.03,-12.60%,,,,,-292.90%,-62.70%,28.79,17.86,13.60%,0.00%,,205.17%,0.26%,0.06,,,-7.00%,2.90,2.60,0.00,0.02,-3.60%,,,18.29%,20.50%,117.98%,-3.00%,56.45%,61.67%,0.92,0.18,12.12%,11.19%,33.21%,31.55%,38.18%,6.67%,67.16%,-45.37%,219.95%,69.11,12.56%,2.58%,,765.16,2.08,2.24,15.46%,1592261,,,12/29/2015,2.16,-3.57%
