"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BIOL","BIOLASE, Inc.","Healthcare","Medical Devices","USA",38.93,,0.56,16.67%,167969826
2,"GBR","New Concept Energy, Inc.","Energy","Oil & Gas E&P","USA",8.90,,2.44,37.85%,12340231
3,"IMTE","Integrated Media Technology Limited","Communication Services","Electronic Gaming & Multimedia","Hong Kong",22.14,,4.41,11.65%,5320174
4,"IRIX","IRIDEX Corporation","Healthcare","Medical Devices","USA",33.79,,2.91,20.75%,5206449
5,"KOSS","Koss Corporation","Technology","Consumer Electronics","USA",17.74,,3.44,43.33%,15233674
6,"TCCO","Technical Communications Corporation","Technology","Communication Equipment","USA",7.24,,5.72,47.04%,21916325
7,"TENX","Tenax Therapeutics, Inc.","Healthcare","Biotechnology","USA",13.59,,1.98,85.05%,230523964
8,"UUU","Universal Security Instruments, Inc.","Industrials","Security & Protection Services","USA",7.08,,5.00,62.34%,31495337
