"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"MICT","Micronet Enertec Technologies, Inc.","NASD","Technology","Electrical Components",28.3,"sml",2.090,2146065
"MOGU","MOGU Inc.","NYSE","Consumer Discretionary","Specialty Retailers",7.1,"sml",1.490,176049
"MTLS","Materialise NV","NASD","Technology","Software",2.0,"sml",23.330,391091
"MTNB","Matinas BioPharma Holdings, Inc.","AMEX","Health Care","Pharmaceuticals",,"",0.742,1047227
"NBRV","Nabriva Therapeutics AG","NASD","Health Care","Biotechnology",0.8,"sml",1.190,1543613
"NEO","NeoGenomics, Inc.","NASD","Health Care","Health Care Providers",23.8,"mid",44.780,696693
"NIO","NIO Inc.","NYSE","Consumer Discretionary","Automobiles",25.9,"lrg",45.600,93772668
"NNOX","Nano X Imaging Ltd.","NASD","Health Care","Medical Equipment",10.3,"sml",30.020,881018
"NOVA","Sunnova Energy International Inc.","NYSE","Technology","Renewable Energy Equipment",20.1,"mid",35.950,4788129
"NSPR","InspireMD, Inc.","AMEX","Health Care","Medical Supplies",,"",4.660,113299
"OPEN","Opendoor Technologies Inc.","NASD","Real Estate","Real Estate Services",0.8,"lrg",15.810,8114521
"PBTS","Powerbridge Technologies Co., Ltd.","NASD","Technology","Software",77.8,"sml",2.360,2781908
"PLAG","Planet Green Holdings Corp.","AMEX","Consumer Staples","Food Products",,"",1.550,79207
"PLUG","Plug Power, Inc.","NASD","Technology","Renewable Energy Equipment",1.3,"lrg",29.830,22583490
"PLX","Protalix BioTherapeutics, Inc.","AMEX","Health Care","Biotechnology",0.9,"sml",1.700,1577103
"PRFX","PainReform Ltd.","NASD","Health Care","Pharmaceuticals",,"",2.730,40957
"PRVB","Provention Bio, Inc.","NASD","Health Care","Pharmaceuticals",1.0,"sml",6.230,1567482
"PSNL","Personalis Inc.","NASD","Health Care","Biotechnology",13.6,"sml",22.740,418279
"RIDE","Lordstown Motors Corp.","NASD","Consumer Discretionary","Automobiles",1.8,"sml",8.890,4434522
"RKT","Rocket Companies Inc.","NYSE","Financial","Mortgage Finance",22.6,"mid",19.170,5021905
"ROOT","Root Inc.","NASD","Financial","Property-Casualty Insurance",,"",9.080,3113728
"RUN","Sunrun Inc.","NASD","Technology","Renewable Energy Equipment",3.4,"lrg",52.700,6251267
"SAIL","SailPoint Technologies Holdings, Inc.","NYSE","Technology","Software",40.9,"mid",50.170,547738
"SDC","SmileDirectClub Inc.","NASD","Health Care","Medical Equipment",6.3,"sml",7.600,5580250
"SEDG","SolarEdge Technologies, Inc.","NASD","Technology","Renewable Energy Equipment",6.5,"lrg",261.140,552029
"SOLO","Electrameccanica Vehicles Corp.","NASD","Consumer Discretionary","Automobiles",7.0,"sml",3.830,4170731
"SONN","Sonnet BioTherapeutics Holdings, Inc.","NASD","Health Care","Biotechnology",,"",1.310,1457536
"SPCE","Virgin Galactic Holdings Inc","NYSE","Industrial","Aerospace",99.5,"lrg",52.690,87454700
"SPI","SPI Energy Co., Ltd.","NASD","Technology","Renewable Energy Equipment",10.1,"sml",6.020,282344
"SRGA","Surgalign Holdings, Inc.","NASD","Health Care","Medical Supplies",1.6,"sml",1.120,14834508
"STAF","Staffing 360 Solutions, Inc.","NASD","Consumer Discretionary","Business Training Agencies",,"",3.820,1149652
"STNE","Stoneco Ltd.","NASD","Technology","Software",6.6,"lrg",64.820,2654662
"STWOU","ACON S2 Acquisition Corp.","NASD","","",33.6,"sml",10.330,0
"TAN","Invesco Solar ETF","NYSE","","",5.5,"etf",86.980,1675250
"TANH","Tantech Holdings Ltd.","NASD","Energy","Coal",,"",1.080,842844
"TDOC","Teladoc Health, Inc.","NYSE","Technology","Software",2.0,"lrg",157.940,1534339
"TRIT","Triterras","NASD","Technology","Software",4.0,"sml",5.830,290346
