"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"DRIP","Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2x Shares","AMEX","","",,"",7.840,4626832
"DUG","ProShares UltraShort Oil & Gas","NYSE","","",,"",12.500,283438
"ERY","Direxion Daily Energy Bear 2x Shares","NYSE","","",,"",15.080,1059177
"GSV","Gold Standard Ventures Corp.","AMEX","Materials","General Mining",,"",0.545,722515
"HYMCW","Hycroft Mining Holding Corporation","NASD","","",,"",0.410,118246
"IMRA","Imara Inc.","NASD","Health Care","Biotechnology",3.2,"sml",7.450,20657
"NRGD","MicroSectors US Big Oil 3X Inverse Leveraged ETN","AMEX","","",,"",13.160,425576
