"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ACB","Aurora Cannabis Inc.","NASD","Health Care","Pharmaceuticals",10.6,"sml",8.100,4590315
"CRMD","CorMedix Inc.","AMEX","Health Care","Pharmaceuticals",17.3,"sml",6.900,293932
"CXDC","China XD Plastics Co. Ltd.","NASD","Consumer Discretionary","Auto Parts",,"",0.550,142807
"ELOX","Eloxx Pharmaceuticals, Inc.","NASD","Health Care","Biotechnology",2.2,"sml",1.700,1447443
"METX","Meten EdtechX Education Group Ltd.","NASD","Consumer Discretionary","Business Training Agencies",0.1,"sml",0.790,2738463
"NAVB","Navidea Biopharmaceuticals, Inc.","AMEX","Health Care","Medical Equipment",18.6,"sml",1.800,27759
"NEWR","New Relic, Inc.","NYSE","Technology","Software",47.0,"mid",67.130,246894
