"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ARTL","Artelo Biosciences Inc.","NASD","Health Care","Biotechnology",,"",1.290,931151
"LCTX","Lineage Cell Therapeutics Inc.","AMEX","Health Care","Biotechnology",,"",2.850,1523365
"NXTD","NXT-ID, Inc.","NASD","Technology","Software",,"",0.933,2580773
"SCON","Superconductor Technologies, Inc.","NASD","Technology","Telecom Equipment",,"",1.570,138199
"SGOC","SGOCO Group, Ltd.","NASD","Technology","Electronic Equipment",,"",2.020,155578
"SINT","SiNtx Technologies, Inc.","NASD","Health Care","Medical Supplies",,"",1.720,704841
"WPG","Washington Prime Group Inc.","NYSE","Real Estate","Retail REITs",,"",4.600,6368170
"XELA","Exela Technologies, Inc.","NASD","Technology","Software",,"",1.560,1690405
