"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ACY","AeroCentury Corp.","AMEX","Industrial","Transportation Services",,"",8.540,464205
"AMTI","Applied Molecular Transport Inc.","NASD","Health Care","Biotechnology",,"",44.650,120518
"ESTE","Earthstone Energy Inc.","NYSE","Energy","Exploration & Production",97.1,"sml",9.180,279603
"GBR","New Concept Energy Inc.","AMEX","Real Estate","Real Estate Development",,"",4.050,111585
"PLBY","PLBY Group, Inc.","NASD","","",,"",43.240,2160923
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",99.3,"sml",0.031,1513
"UXIN","Uxin Ltd","NASD","Communication Services","Internet",,"",3.330,11894065
