"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ADMP","Adamis Pharmaceuticals Corp.","NASD","Health Care","Pharmaceuticals",,"",0.751,2578236
"COCP","Cocrystal Pharma, Inc.","NASD","Health Care","Pharmaceuticals",,"",1.100,7210231
"LEDS","SemiLEDs Corp.","NASD","Technology","Electrical Components",,"",7.760,6474956
"REED","Reeds, Inc.","NASD","Consumer Staples","Soft Drinks",,"",0.912,2982992
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",99.3,"sml",0.031,1513
"STIM","Neuronetics, Inc.","NASD","Health Care","Medical Supplies",,"",13.940,159351
"TYHT","Shineco, Inc.","NASD","Health Care","Pharmaceuticals",,"",15.260,184388
