"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AMS","American Shared Hospital Services","AMEX","Health Care","Medical Equipment",,"",2.490,257592
"BRN","Barnwell Industries, Inc.","AMEX","Energy","Exploration & Production",,"",2.930,106951
"FRD","Friedman Industries, Inc.","AMEX","Materials","Steel",,"",10.486,89556
"GBS","GBS Inc.","NASD","Health Care","Medical Equipment",,"",3.050,249364
"ISNS","Image Sensing Systems, Inc.","NASD","Technology","Electronic Equipment",,"",7.530,554029
"PRPO","Precipio, Inc.","NASD","Health Care","Biotechnology",,"",4.130,4528932
"RHE","Regional Health Properties, Inc.","AMEX","Real Estate","Specialty REITs",,"",10.700,1042273
"SRL","Scully Royalty Ltd.","NYSE","Financial","Banks",,"",14.370,10162
"TOPS","TOP Ships Inc.","NASD","Industrial","Marine Transportation",,"",1.490,1070593
