"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"ANY","Sphere 3D Corp.","NASD","Technology","Electronic Equipment",,"",1.520,220231
"BSQR","BSQUARE Corp.","NASD","Technology","Software",,"",2.190,156965
"CHS","Chicos FAS, Inc.","NYSE","Consumer Discretionary","Apparel Retailers",98.5,"sml",4.530,2313696
"EXPR","Express Inc.","NYSE","Consumer Discretionary","Apparel Retailers",98.6,"sml",3.590,3022909
"EYES","Second Sight Medical Products, Inc.","NASD","Health Care","Medical Equipment",99.4,"sml",5.090,2024970
"GLSI","Greenwich LifeSciences Inc.","NASD","Health Care","Biotechnology",,"",32.200,63236
"GME","Gamestop Corp.","NYSE","Consumer Discretionary","Specialty Retailers",99.9,"sml",168.830,4825885
"HKIB","AMTD International, Inc.","NYSE","Financial","Investment Services",,"",7.100,5643
"JAGX","Jaguar Health, Inc.","NASD","Health Care","Biotechnology",,"",1.190,3568066
"KOSS","Koss Corp.","NASD","Communication Services","Mobile Telecommunications",,"",17.210,535667
"MOXC","Moxian, Inc.","NASD","Communication Services","Internet",,"",12.800,2078749
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",99.3,"sml",0.031,1513
"YELL","Yellow Corporation","NASD","Industrial","Trucking",,"",6.210,684507
