"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"BTX","Brooklyn ImmunoTherapeutics, Inc.","AMEX","Health Care","Biotechnology",,"",17.930,5481693
"EEIQ","Elite Education Group International Ltd.","NASD","","",,"",4.950,178595
"HTBI","HomeTrust Bancshares, Inc.","NASD","Financial","Banks",77.3,"sml",27.900,38094
"MYT","Urban Tea, Inc.","NASD","Materials","Specialty Chemicals",,"",1.820,481069
"VXRT","Vaxart, Inc.","NASD","Health Care","Biotechnology",37.2,"sml",6.580,3630741
"XYF","X Financial","NYSE","Financial","Consumer Finance",,"",4.370,33275
