"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"BELFB","Bel Fuse, Inc.","NASD","Technology","Electrical Components",25.8,"sml",16.220,33367
"BTX","Brooklyn ImmunoTherapeutics, Inc.","AMEX","Health Care","Biotechnology",,"",17.930,5481693
"RHE","Regional Health Properties, Inc.","AMEX","Real Estate","Specialty REITs",,"",10.700,1042273
"SONN","Sonnet BioTherapeutics Holdings, Inc.","NASD","Health Care","Biotechnology",,"",1.550,577719
"SSY","SunLink Health Systems, Inc.","AMEX","Health Care","Health Care Providers",,"",3.090,418186
