"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AMTX","Aemetis, Inc.","NASD","Materials","Specialty Chemicals",,"",11.840,1908838
"CAN"," Canaan Inc","NASD","Technology","Semiconductors",,"",8.520,9779431
"GBS","GBS Inc.","NASD","Health Care","Medical Equipment",,"",3.050,249364
"GRPN","Groupon Inc.","NASD","Consumer Discretionary","Special Consumer Services",76.2,"sml",44.840,805219
"MORF","Morphic Holding Inc.","NASD","Health Care","Biotechnology",,"",45.750,88041
"OSS","One Stop Systems Inc.","NASD","Technology","Computer Hardware",,"",5.770,120135
