"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"CHKR","Chesapeake Granite Wash Trust","NYSE","Energy","Exploration & Production",,"",0.410,194474
"HSTO","Histogen Inc.","NASD","Health Care","Biotechnology",,"",1.010,228520
"JOB","GEE Group Inc.","AMEX","Consumer Discretionary","Business Training Agencies",,"",0.563,2075346
"NVIV","InVivo Therapeutics Holdings Corp.","NASD","Health Care","Biotechnology",4.0,"sml",0.692,540644
"PHUN","Phunware, Inc.","NASD","Technology","Software",,"",1.400,1653922
"RGLS","Regulus Therapeutics Inc.","NASD","Health Care","Biotechnology",38.7,"sml",1.000,645302
"SNNAQ","Sienna Biopharmaceuticals, Inc.","NASD","Health Care","Biotechnology",98.6,"sml",0.027,7002
"STAF","Staffing 360 Solutions, Inc.","NASD","Consumer Discretionary","Business Training Agencies",,"",0.583,929190
