"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"BB","BlackBerry Ltd.","NYSE","Technology","Telecom Equipment",80.9,"mid",8.780,4086305
"BNGO","Bionano Genomics, Inc.","NASD","Health Care","Biotechnology",,"",5.620,16476945
"CFAC","CF Finance Acquisition Corp.","NASD","","",,"",9.990,18016
"CFACU","CF Finance Acquisition Corp III","NASD","","",,"",10.233,1250
"CFMS","Conformis, Inc.","NASD","Health Care","Medical Equipment",,"",0.853,830254
"CHEK","Check-Cap Ltd.","NASD","","",,"",1.440,514783
"DDD","3D Systems Corp.","NYSE","Technology","Computer Hardware",97.6,"sml",24.950,4949074
"GSM","Ferroglobe PLC","NASD","Materials","Nonferrous Metals",99.6,"sml",4.620,1276289
"LXRX","Lexicon Pharmaceuticals, Inc.","NASD","Health Care","Biotechnology",91.8,"sml",4.350,355958
"NCSM","NCS Multistage Holdings, Inc.","NASD","Energy","Oil Equipment & Services",,"",24.940,0
"PEI","Pennsylvania REIT","NYSE","Real Estate","Retail REITs",,"",1.860,416792
"SENS","Senseonics Holdings Inc.","AMEX","Health Care","Medical Equipment",,"",2.100,7895807
"SINO","Sino-Global Shipping America, Ltd.","NASD","Industrial","Transportation Services",,"",3.600,166739
"SPHS","Sophiris Bio, Inc.","NASD","Health Care","Biotechnology",,"",0.016,87475
"TLRY","Tilray, Inc.","NASD","Health Care","Medical Supplies",,"",14.940,16572209
"UAVS","AgEagle Aerial Systems, Inc.","AMEX","Energy","Exploration & Production",,"",4.810,1524222
